tarih,malatya_avg_inflation_1d,malatya_tuik_weighted_1d,malatya_avg_inflation_7d,malatya_tuik_weighted_7d,malatya_avg_inflation_15d,malatya_tuik_weighted_15d,malatya_avg_inflation_30d,malatya_tuik_weighted_30d,elazig_avg_inflation_1d,elazig_tuik_weighted_1d,elazig_avg_inflation_7d,elazig_tuik_weighted_7d,elazig_avg_inflation_15d,elazig_tuik_weighted_15d,elazig_avg_inflation_30d,elazig_tuik_weighted_30d,tunceli_avg_inflation_1d,tunceli_tuik_weighted_1d,tunceli_avg_inflation_7d,tunceli_tuik_weighted_7d,tunceli_avg_inflation_15d,tunceli_tuik_weighted_15d,tunceli_avg_inflation_30d,tunceli_tuik_weighted_30d,malatya_avg_inflation_2026-05-23,malatya_tuik_weighted_2026-05-23,elazig_avg_inflation_2026-05-23,elazig_tuik_weighted_2026-05-23,tunceli_avg_inflation_2026-05-23,tunceli_tuik_weighted_2026-05-23
2026-03-21,0.177145,0.177145,0.145776,0.145776,1.229763,1.229763,,,-0.306792,-0.306792,0.558111,0.558111,-0.805529,-0.805529,,,-1.764706,-1.764706,1.379445,1.379445,-2.78511,-2.78511,,,,,,,,
2026-03-22,-0.848086,-0.848086,-0.899085,-0.899085,1.046323,1.046323,,,0.292428,0.292428,1.606721,1.606721,-0.115828,-0.115828,,,1.555556,1.555556,2.260794,2.260794,-0.78511,-0.78511,,,,,,,,
2026-03-23,-0.89478,-0.89478,-1.576504,-1.576504,-0.893242,-0.893242,,,-0.029832,-0.029832,1.066437,1.066437,0.804794,0.804794,,,0.0,0.0,7.857143,7.857143,1.715618,1.715618,,,,,,,,
2026-03-24,0.776965,0.776965,-0.607832,-0.607832,0.039215,0.039215,,,-0.0532,-0.0532,0.775606,0.775606,0.044757,0.044757,,,0.0,0.0,7.857143,7.857143,0.7485,0.7485,,,,,,,,
2026-03-25,0.356199,0.356199,-1.054379,-1.054379,0.066694,0.066694,,,-0.125632,-0.125632,-0.24287,-0.24287,-0.31185,-0.31185,,,-1.282051,-1.282051,2.753689,2.753689,-0.284382,-0.284382,,,,,,,,
2026-03-26,0.477371,0.477371,-0.987281,-0.987281,-0.690163,-0.690163,,,0.891117,0.891117,0.787266,0.787266,0.735006,0.735006,,,-2.560386,-2.560386,-2.87478,-2.87478,-8.798876,-8.798876,,,,,,,,
2026-03-27,0.380348,0.380348,0.86607,0.86607,0.23029,0.23029,,,-0.562577,-0.562577,-0.161383,-0.161383,0.6914,0.6914,,,1.948854,1.948854,-2.411038,-2.411038,0.02442,0.02442,,,,,,,,
2026-03-28,0.055054,0.055054,0.906778,0.906778,0.004484,0.004484,,,-0.493635,-0.493635,-0.121909,-0.121909,0.616768,0.616768,,,0.505051,0.505051,1.906746,1.906746,1.483516,1.483516,,,,,,,,
2026-03-29,-0.509337,-0.509337,0.562845,0.562845,-0.863029,-0.863029,,,-0.021998,-0.021998,-0.259083,-0.259083,0.316208,0.316208,,,-0.790514,-0.790514,-0.289835,-0.289835,2.546234,2.546234,,,,,,,,
2026-03-30,0.170767,0.170767,1.683496,1.683496,-0.445301,-0.445301,,,-0.180455,-0.180455,-0.281788,-0.281788,1.232074,1.232074,,,-1.124402,-1.124402,0.178571,0.178571,-0.059377,-0.059377,,,,,,,,
2026-03-31,-0.070524,-0.070524,0.801886,0.801886,-0.133764,-0.133764,,,-1.114401,-1.114401,-0.939368,-0.939368,0.166951,0.166951,,,0.352589,0.352589,-3.324176,-3.324176,2.5,2.5,,,,,,,,
2026-04-01,-0.521826,-0.521826,-0.107906,-0.107906,0.212859,0.212859,,,-0.126092,-0.126092,-0.449678,-0.449678,0.380841,0.380841,,,0.243902,0.243902,-2.267081,-2.267081,3.214286,3.214286,,,,,,,,
2026-04-02,-0.569122,-0.569122,-0.688506,-0.688506,-0.464541,-0.464541,1.663037,1.663037,0.423831,0.423831,-1.075614,-1.075614,-0.422558,-0.422558,2.912587,2.912587,1.761905,1.761905,2.81746,2.81746,-1.597222,-1.597222,-7.84585,-7.84585,,,,,,
2026-04-03,1.434886,1.434886,-0.371849,-0.371849,-0.523666,-0.523666,2.960599,2.960599,-0.172797,-0.172797,-1.335987,-1.335987,-0.684408,-0.684408,0.344248,0.344248,0.0,0.0,0.710227,0.710227,0.537919,0.537919,-7.113527,-7.113527,,,,,,
2026-04-04,-0.931384,-0.931384,-1.340835,-1.340835,0.61013,0.61013,1.058629,1.058629,0.249751,0.249751,-0.614513,-0.614513,-0.598858,-0.598858,-0.089856,-0.089856,0.0,0.0,0.163043,0.163043,0.320443,0.320443,1.785918,1.785918,,,,,,
2026-04-05,0.17539,0.17539,-0.645328,-0.645328,1.602024,1.602024,1.376742,1.376742,0.561371,0.561371,-0.396099,-0.396099,0.331654,0.331654,0.525034,0.525034,0.95883,0.95883,2.0,2.0,3.229718,3.229718,-4.909091,-4.909091,,,,,,
2026-04-06,0.33018,0.33018,-1.176299,-1.176299,1.43435,1.43435,0.967875,0.967875,0.002937,0.002937,-0.149653,-0.149653,0.059874,0.059874,0.704041,0.704041,0.952381,0.952381,4.956307,4.956307,3.387706,3.387706,-3.863636,-3.863636,,,,,,
2026-04-07,-0.0405,-0.0405,-0.020789,-0.020789,1.425105,1.425105,2.385997,2.385997,0.040251,0.040251,0.561939,0.561939,-1.132088,-1.132088,0.477063,0.477063,-0.131579,-0.131579,4.331938,4.331938,3.543956,3.543956,-4.192584,-4.192584,,,,,,
2026-04-08,1.029748,1.029748,2.250123,2.250123,0.146465,0.146465,3.314925,3.314925,0.352371,0.352371,0.407118,0.407118,-0.111348,-0.111348,1.662253,1.662253,1.37037,1.37037,11.100085,11.100085,2.841444,2.841444,-3.518757,-3.518757,,,,,,
2026-04-09,-0.478938,-0.478938,1.542045,1.542045,0.717346,0.717346,3.92037,3.92037,-0.439622,-0.439622,0.4693,0.4693,0.414228,0.414228,1.489775,1.489775,-2.021706,-2.021706,0.956354,0.956354,1.694765,1.694765,-6.021531,-6.021531,,,,,,
2026-04-10,-1.128547,-1.128547,0.114326,0.114326,-1.135926,-1.135926,1.442685,1.442685,0.700004,0.700004,0.59415,0.59415,-0.592027,-0.592027,2.0897,2.0897,0.810811,0.810811,1.767165,1.767165,4.489796,4.489796,-2.865549,-2.865549,,,,,,
2026-04-11,1.084912,1.084912,1.301019,1.301019,0.481753,0.481753,2.086635,2.086635,0.263212,0.263212,1.192011,1.192011,-0.539556,-0.539556,2.678104,2.678104,-1.069735,-1.069735,0.859998,0.859998,-0.847027,-0.847027,-4.570421,-4.570421,,,,,,
2026-04-12,0.679631,0.679631,0.287788,0.287788,-0.611112,-0.611112,1.099586,1.099586,0.054907,0.054907,0.733688,0.733688,-0.013142,-0.013142,2.966753,2.966753,-0.029377,-0.029377,-0.317855,-0.317855,-1.561004,-1.561004,-3.21782,-3.21782,,,,,,
2026-04-13,-0.940064,-0.940064,-0.221731,-0.221731,-0.930939,-0.930939,-0.249608,-0.249608,0.189348,0.189348,1.012114,1.012114,0.151315,0.151315,1.801208,1.801208,0.0,0.0,-1.387559,-1.387559,-0.357587,-0.357587,0.885838,0.885838,,,,,,
2026-04-14,-1.094513,-1.094513,-1.12276,-1.12276,-2.316701,-2.316701,-1.097519,-1.097519,0.051452,0.051452,1.192999,1.192999,-0.218466,-0.218466,3.52376,3.52376,-0.134409,-0.134409,-1.536785,-1.536785,1.49589,1.49589,-1.097819,-1.097819,,,,,,
2026-04-15,0.915428,0.915428,-1.274507,-1.274507,-0.292686,-0.292686,0.478489,0.478489,0.040355,0.040355,0.442172,0.442172,1.158116,1.158116,4.100067,4.100067,0.758752,0.758752,-6.260064,-6.260064,1.845324,1.845324,2.84468,2.84468,,,,,,
2026-04-16,-0.515493,-0.515493,-0.404581,-0.404581,1.884212,1.884212,-0.892669,-0.892669,0.099694,0.099694,0.126654,0.126654,0.586907,0.586907,4.128968,4.128968,-0.132979,-0.132979,0.245762,0.245762,1.285344,1.285344,2.53218,2.53218,,,,,,
2026-04-17,0.072788,0.072788,1.042663,1.042663,0.488918,0.488918,-0.357425,-0.357425,-0.460961,-0.460961,-0.008559,-0.008559,1.722176,1.722176,2.983442,2.983442,0.15361,0.15361,-0.722151,-0.722151,1.845324,1.845324,-0.301604,-0.301604,,,,,,
2026-04-18,-0.206758,-0.206758,-1.038537,-1.038537,-1.070517,-1.070517,-1.390768,-1.390768,-0.432807,-0.432807,-0.672045,-0.672045,1.014717,1.014717,0.811667,0.811667,-0.177305,-0.177305,0.605285,0.605285,2.56691,2.56691,0.428744,0.428744,,,,,,
2026-04-19,0.58552,0.58552,-0.796457,-0.796457,0.615403,0.615403,-0.476161,-0.476161,-0.338895,-0.338895,-0.980937,-0.980937,1.135948,1.135948,1.200372,1.200372,-0.179211,-0.179211,0.470139,0.470139,2.363658,2.363658,3.944369,3.944369,,,,,,
2026-04-20,0.070175,0.070175,0.326186,0.326186,0.711875,0.711875,1.281374,1.281374,-0.031544,-0.031544,-1.238239,-1.238239,-0.135218,-0.135218,0.807374,0.807374,0.217391,0.217391,0.779221,0.779221,0.918601,0.918601,4.256869,4.256869,,,,,,
2026-04-21,0.392167,0.392167,3.510024,3.510024,3.052875,3.052875,2.694348,2.694348,-0.338761,-0.338761,-0.829961,-0.829961,-0.554265,-0.554265,-0.143659,-0.143659,2.994624,2.994624,4.150198,4.150198,1.971396,1.971396,3.404839,3.404839,,,,,,
2026-04-22,-1.078086,-1.078086,0.740384,0.740384,0.61441,0.61441,1.527731,1.527731,-0.171481,-0.171481,-1.00402,-1.00402,-0.209706,-0.209706,-1.156713,-1.156713,1.395349,1.395349,4.074468,4.074468,3.531884,3.531884,2.352285,2.352285,,,,,,
2026-04-23,0.828947,0.828947,2.214886,2.214886,1.433087,1.433087,-0.76277,-0.76277,-0.59129,-0.59129,-1.008668,-1.008668,-1.723826,-1.723826,-1.207373,-1.207373,0.888889,0.888889,5.173835,5.173835,2.173913,2.173913,3.801561,3.801561,,,,,,
2026-04-24,-1.369063,-1.369063,0.211215,0.211215,-0.872245,-0.872245,-0.136825,-0.136825,0.382249,0.382249,0.284019,0.284019,-0.718263,-0.718263,0.459518,0.459518,-2.60979,-2.60979,1.811798,1.811798,3.243243,3.243243,2.717391,2.717391,,,,,,
2026-04-25,0.537769,0.537769,0.813409,0.813409,1.288176,1.288176,1.519653,1.519653,-0.085864,-0.085864,-0.203727,-0.203727,-1.521818,-1.521818,0.379244,0.379244,-3.915776,-3.915776,-2.208327,-2.208327,-2.72973,-2.72973,-0.108696,-0.108696,,,,,,
2026-04-26,0.487984,0.487984,0.63247,0.63247,-0.245601,-0.245601,1.60947,1.60947,0.021403,0.021403,1.00858,1.00858,-1.554855,-1.554855,-0.052082,-0.052082,-0.909804,-0.909804,-2.723976,-2.723976,-2.381977,-2.381977,-5.184453,-5.184453,,,,,,
2026-04-27,0.465233,0.465233,1.00951,1.00951,0.678828,0.678828,2.132571,2.132571,0.755469,0.755469,0.30691,0.30691,0.143133,0.143133,-0.244429,-0.244429,-0.707602,-0.707602,-3.638435,-3.638435,-3.015058,-3.015058,-4.697941,-4.697941,,,,,,
2026-04-28,-0.070006,-0.070006,0.093775,0.093775,1.671309,1.671309,3.74718,3.74718,-0.073762,-0.073762,0.697343,0.697343,-0.087057,-0.087057,-0.525053,-0.525053,0.454545,0.454545,2.958833,2.958833,-2.584951,-2.584951,-1.999837,-1.999837,,,,,,
2026-04-29,1.11143,1.11143,2.5346,2.5346,6.907785,6.907785,5.74182,5.74182,-0.249013,-0.249013,1.122538,1.122538,-0.455803,-0.455803,-0.603851,-0.603851,1.851852,1.851852,3.969956,3.969956,-0.200659,-0.200659,1.915504,1.915504,,,,,,
2026-04-30,-0.494997,-0.494997,0.470254,0.470254,5.692778,5.692778,7.81556,7.81556,-0.139191,-0.139191,0.378275,0.378275,-0.578206,-0.578206,-0.39228,-0.39228,-1.666667,-1.666667,0.141453,0.141453,-3.41423,-3.41423,-0.483215,-0.483215,,,,,,
