date,avg_inflation_1d,tuik_weighted_1d,avg_inflation_7d,tuik_weighted_7d,avg_inflation_15d,tuik_weighted_15d,avg_inflation_30d,tuik_weighted_30d
2026-03-07,,,,,,,,
2026-03-08,0.423,0.423,,,,,,
2026-03-09,0.4458,0.4458,,,,,,
2026-03-10,0.1975,0.1975,,,,,,
2026-03-11,-0.0037,-0.0037,,,,,,
2026-03-12,2.0153,2.0153,,,,,,
2026-03-13,-0.5866,-0.5866,,,,,,
2026-03-15,,,9.4288,9.4288,,,,
2026-03-16,-7.3372,-7.3372,-2.1579,-2.1579,,,,
2026-03-17,7.7535,7.7535,5.3327,5.3327,,,,
2026-03-18,3.4329,3.4329,7.3056,7.3056,,,,
2026-03-19,2.0481,2.0481,7.2435,7.2435,,,,
2026-03-20,2.4821,2.4821,6.8907,6.8907,,,,
2026-03-21,0.7986,0.7986,,,,,,
2026-03-22,0.9014,0.9014,3.9754,3.9754,13.2427,13.2427,,
2026-03-23,-50.9298,-50.9298,-46.5479,-46.5479,-50.7615,-50.7615,,
2026-03-26,,,17.2591,17.2591,14.1155,14.1155,,
2026-03-27,-0.385,-0.385,5.8318,5.8318,8.5248,8.5248,,
2026-03-28,-0.0706,-0.0706,5.0027,5.0027,8.5497,8.5497,,
2026-03-29,3.619,3.619,8.6274,8.6274,,,,
2026-03-30,4.1374,4.1374,410.2658,410.2658,15.5666,15.5666,,
2026-03-31,1.1416,1.1416,,,25.1091,25.1091,,
2026-04-01,1.4197,1.4197,,,17.7882,17.7882,,
2026-04-02,1.7546,1.7546,8.3538,8.3538,14.4844,14.4844,,
2026-04-03,-0.29,-0.29,10.5453,10.5453,18.6931,18.6931,,
2026-04-05,,,6.2619,6.2619,13.256,13.256,,
2026-04-06,0.0033,0.0033,3.442,3.442,15.066,15.066,22.6671,22.6671
2026-04-07,0.5458,0.5458,2.0565,2.0565,412.1438,412.1438,33.4294,33.4294
2026-04-08,4.0268,4.0268,4.9875,4.9875,,,20.608,20.608
2026-04-09,3.4714,3.4714,4.008,4.008,,,20.981,20.981
2026-04-10,0.3294,0.3294,17.3093,17.3093,28.0957,28.0957,35.9202,35.9202
2026-04-11,2.749,2.749,,,9.3757,9.3757,18.3613,18.3613
2026-04-12,3.29,3.29,7.492,7.492,13.9309,13.9309,26.9831,26.9831
2026-04-13,1.0575,1.0575,6.6432,6.6432,12.0287,12.0287,,
2026-04-27,,,,,17.739,17.739,28.6101,28.6101
2026-04-28,2.0662,2.0662,,,18.4464,18.4464,31.5619,31.5619
2026-04-29,0.0483,0.0483,,,,,21.772,21.772
2026-05-01,,,,,,,22.9785,22.9785
2026-05-02,0.9505,0.9505,,,,,30.338,30.338
2026-05-03,0.7837,0.7837,,,,,29.1484,29.1484
2026-05-04,0.4463,0.4463,5.6072,5.6072,,,,
2026-05-05,4.2816,4.2816,7.7195,7.7195,,,30.8581,30.8581
2026-05-06,3.3116,3.3116,10.6667,10.6667,,,35.1989,35.1989
2026-05-07,-0.1616,-0.1616,,,,,31.0844,31.0844
2026-05-08,0.4116,0.4116,5.9251,5.9251,,,26.5777,26.5777
