District,Rooms,Price,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Aladağ / Köyler,1+1,60000.0,04,0.0,,,
Ceyhan / Emek,1+1,13500.0,04,0.0,,,0.0
Ceyhan / Emek,2+1,17071.428571428572,04,0.0,,,-63.07169344870209
Ceyhan / Emek,3+1,44416.666666666664,04,-10.450268817204305,,,-50.42782738095239
Ceyhan / Emek,4+1,19500.0,04,0.0,,,-13.333333333333334
Ceyhan / Namıkkemal,1+1,18250.0,04,14.960629921259844,,,32.72727272727273
Ceyhan / Namıkkemal,2+1,30700.0,04,2.17115689381934,,,-10.897097625329819
Ceyhan / Namıkkemal,3+1,55032.608695652176,04,34.78473841697814,,,50.838841821059496
Ceyhan / Namıkkemal,4+1,80642.85714285714,04,0.0,,,
Ceyhan / Namıkkemal,5+1,480000.0,04,0.0,,,
Ceyhan / Sanayi,2+1,16000.0,04,0.0,,,-90.0
Ceyhan / Sanayi,3+1,18250.0,04,0.0,,,-65.07177033492823
Ceyhan / Sanayi,4+1,127000.0,04,0.0,,,-47.083333333333336
Ceyhan / Türlübaş,1+1,21000.0,04,0.0,,,
Ceyhan / Türlübaş,2+1,16750.0,04,0.0,,,10.093896713615027
Ceyhan / Türlübaş,3+1,40122.375,04,0.0,,,-29.87350187265918
Ceyhan / Türlübaş,4+1,15000.0,04,0.0,,,
Ceyhan / Çarşı,2+1,17300.0,04,0.0,,,-61.38392857142857
Ceyhan / Çarşı,3+1,16500.0,04,0.0,,,0.0
Feke / Köyler,2+1,7000.0,04,0.0,,,
Karataş,2+1,186428.57142857142,04,1.2281835811247583,,,7.29701952723535
Karataş,3+1,32000.0,04,0.0,,,47.692307692307686
Karataş,3.5+1,250000.0,04,0.0,,,
Karataş / Bahçe,2+1,180000.0,04,0.0,,,500.0
Karataş / Bahçe,4+1,85000.0,04,0.0,,,-75.71428571428571
Karataş / Tuzla,1+1,110000.0,04,0.0,,,
Kozan / Aslanpaşa,2+1,11000.0,04,0.0,,,22.22222222222222
Kozan / Aslanpaşa,3+1,11000.0,04,0.0,,,-5.376344086021505
Kozan / Aslanpaşa,4+0,14500.0,04,0.0,,,9.433962264150944
Kozan / Köyler,1+1,9500.0,04,0.0,,,-24.0
Kozan / Köyler,2+0,15500.0,04,0.0,,,-8.823529411764707
Kozan / Köyler,2+1,23642.85714285714,04,-2.5036818851251903,,,112.52006420545746
Kozan / Köyler,3+1,15261.111111111111,04,0.0,,,12.008154943934763
Kozan / Köyler,4+0,15500.0,04,0.0,,,10.714285714285714
Kozan / Köyler,4+1,17500.0,04,-2.7777777777777777,,,-54.54545454545454
Kozan / Mahmutlu,3+1,8500.0,04,0.0,,,21.428571428571427
Kozan / Mahmutlu,4+0,15000.0,04,0.0,,,7.142857142857142
Kozan / Merkez,1+1,7900.0,04,0.0,,,-21.975308641975307
Kozan / Merkez,2+1,15474.137931034482,04,0.0,,,2.154182667564029
Kozan / Merkez,3+0,48000.0,04,0.0,,,-43.529411764705884
Kozan / Merkez,3+1,23779.41176470588,04,-3.495094930806824,,,113.74752148050231
Kozan / Merkez,4+1,31785.714285714286,04,0.0,,,102.45677888989991
Kozan / Çarşı,1+1,13000.0,04,0.0,,,-4.587155963302752
Kozan / Çarşı,2+1,12714.285714285714,04,0.0,,,-13.064713064713068
Kozan / Çarşı,3+0,12000.0,04,0.0,,,
Kozan / Çarşı,3+1,31111.11111111111,04,0.0,,,-4.334828101644247
Kozan / Çarşı,4+0,15000.0,04,0.0,,,0.0
Kozan / Çarşı,4+1,24000.0,04,0.0,,,1.408450704225347
Kozan / Şevkiye,1+1,18500.0,04,0.0,,,5.113636363636364
Kozan / Şevkiye,2+1,11285.714285714286,04,-0.7849293563579232,,,13.997113997114003
Kozan / Şevkiye,3+1,12933.333333333334,04,0.0,,,13.904456898852423
Kozan / Şevkiye,4+0,15000.0,04,0.0,,,
Kozan / Şevkiye,4+1,22800.0,04,0.0,,,29.0566037735849
Pozantı,1+1,39833.333333333336,04,0.0,,,-26.911314984709477
Pozantı,2+1,137500.0,04,0.0,,,258.07291666666663
Pozantı,3+1,175000.0,04,0.0,,,-2.7777777777777777
Sarıçam,1+1,15895.373860182372,04,-0.09572105924493077,,,9.286645997380669
Sarıçam,2+1,20338.01282051282,04,3.5328384863027558,,,11.917995337365644
Sarıçam,2.5+1,13714.285714285714,04,0.0,,,-61.58463385354141
Sarıçam,3+1,28933.971962616823,04,6.456225628565861,,,2.6575548915753426
Sarıçam,4+1,21567.727272727272,04,0.0,,,-51.80029930156197
Sarıçam,5+1,75000.0,04,0.0,,,114.28571428571428
Sarıçam / Köyler,1+1,17136.0,04,1.166212534059942,,,2.2457831325301307
Sarıçam / Köyler,2+1,29000.0,04,2.2821576763485507,,,108.73737878636412
Sarıçam / Köyler,3+1,53950.0,04,0.0,,,-3.6875871687587165
Sarıçam / Köyler,4+1,45681.818181818184,04,-0.3964321110009795,,,-19.574263764404606
Sarıçam / Köyler,5+1,45000.0,04,0.0,,,-9.090909090909092
Sarıçam / Köyler,5+2,115000.0,04,0.0,,,0.0
Sarıçam / Köyler,6+1,120000.0,04,0.0,,,0.0
Sarıçam / Köyler,6+2,94000.0,04,0.0,,,
Sarıçam / Köyler,8+2,62000.0,04,0.0,,,0.0
Sarıçam / Köyler,8+3,95000.0,04,0.0,,,
Sarıçam / Mehmet Akif Ersoy,1+1,14302.152173913044,04,-1.065817309460579,,,6.504183185282907
Sarıçam / Mehmet Akif Ersoy,1.5+1,10500.0,04,0.0,,,-30.0
Sarıçam / Mehmet Akif Ersoy,2+1,25276.03125,04,-0.4674004528084792,,,-14.436923575129537
Sarıçam / Mehmet Akif Ersoy,3+1,43896.55172413793,04,-0.5209690023443745,,,-11.780090864743194
Sarıçam / Mehmet Akif Ersoy,4+1,312785.71428571426,04,64.69629536764245,,,18.007605473545514
Sarıçam / Mehmet Akif Ersoy,4+2,900000.0,04,0.0,,,
Sarıçam / Mehmet Akif Ersoy,5+1,184166.66666666666,04,0.0,,,70.0186833717991
Sarıçam / Mehmet Akif Ersoy,5+2,57000.0,04,0.0,,,26.666666666666668
Sarıçam / Mehmet Akif Ersoy,6+1,77500.0,04,0.0,,,6.164383561643835
Sarıçam / Sofulu,1+1,14830.213725490195,04,-0.15162363455624409,,,10.183306109099105
Sarıçam / Sofulu,2+1,22201.540880503144,04,-0.7093793630620472,,,11.934012517718804
Sarıçam / Sofulu,2.5+1,15250.0,04,0.0,,,-7.575757575757576
Sarıçam / Sofulu,3+1,42444.20618556701,04,8.549007365988222,,,36.84750669969921
Sarıçam / Sofulu,4+1,18700.0,04,0.0,,,-9.333333333333334
Sarıçam / Sofulu,Stüdyo (1+0),10000.0,04,,,,
Sarıçam / Yıldırım Beyazıt,2+1,30100.0,04,0.0,,,-44.306139613120266
