date,avg_inflation_1d,tuik_weighted_1d,avg_inflation_7d,tuik_weighted_7d,avg_inflation_15d,tuik_weighted_15d,avg_inflation_30d,tuik_weighted_30d
2026-03-07,,,,,,,,
2026-03-09,,,,,,,,
2026-03-10,0.7839,0.7839,,,,,,
2026-03-11,1.1586,1.1586,,,,,,
2026-03-12,-0.4731,-0.4731,,,,,,
2026-03-13,5.49,5.49,,,,,,
2026-03-14,-0.1319,-0.1319,0.4699,0.4699,,,,
2026-03-15,0.2482,0.2482,,,,,,
2026-03-16,0.6033,0.6033,0.5047,0.5047,,,,
2026-03-17,0.1402,0.1402,-0.4138,-0.4138,,,,
2026-03-18,4.6048,4.6048,2.1149,2.1149,,,,
2026-03-19,-0.4615,-0.4615,0.6414,0.6414,,,,
2026-03-20,5.5049,5.5049,3.9908,3.9908,,,,
2026-03-21,0.3087,0.3087,11.4558,11.4558,,,,
2026-03-22,0.0324,0.0324,11.6741,11.6741,15.4447,15.4447,,
2026-03-23,0.9176,0.9176,11.0519,11.0519,,,,
2026-03-24,5.5064,5.5064,16.0111,16.0111,21.9344,21.9344,,
2026-03-25,-0.5752,-0.5752,4.8954,4.8954,4.7667,4.7667,,
2026-03-27,,,7.1942,7.1942,17.5215,17.5215,,
2026-03-28,2.8121,2.8121,6.8717,6.8717,10.3784,10.3784,,
2026-03-29,-0.4607,-0.4607,4.6662,4.6662,13.4568,13.4568,,
2026-03-30,0.703,0.703,3.0684,3.0684,13.3189,13.3189,,
2026-03-31,2.5121,2.5121,5.0899,5.0899,10.5665,10.5665,,
2026-04-01,-0.1609,-0.1609,5.5823,5.5823,10.1527,10.1527,,
2026-04-02,3.8305,3.8305,,,16.5377,16.5377,,
2026-04-03,0.1903,0.1903,9.7665,9.7665,17.0608,17.0608,,
2026-04-05,,,10.6328,10.6328,22.8691,22.8691,,
2026-04-06,-0.0972,-0.0972,6.398,6.398,23.1768,23.1768,31.2189,31.2189
2026-04-07,1.3882,1.3882,4.7307,4.7307,23.2149,23.2149,,
2026-04-08,0.7162,0.7162,11.1299,11.1299,29.2312,29.2312,33.9752,33.9752
2026-04-09,2.2497,2.2497,7.5689,7.5689,32.4095,32.4095,30.1522,30.1522
2026-04-10,3.091,3.091,9.6024,9.6024,,,28.6367,28.6367
2026-04-11,0.2725,0.2725,,,17.0701,17.0701,24.3606,24.3606
2026-04-12,0.0324,0.0324,4.2485,4.2485,17.141,17.141,23.7642,23.7642
2026-04-13,0.1197,0.1197,5.3273,5.3273,14.0374,14.0374,29.9636,29.9636
2026-04-27,,,,,13.2182,13.2182,25.5687,25.5687
2026-04-28,1.2041,1.2041,,,13.6511,13.6511,20.2247,20.2247
2026-04-29,-0.2213,-0.2213,,,,,15.3817,15.3817
2026-04-30,-0.0332,-0.0332,,,,,15.2184,15.2184
2026-05-01,1.7362,1.7362,,,,,24.9915,24.9915
2026-05-02,0.5628,0.5628,,,,,26.2274,26.2274
2026-05-03,0.1998,0.1998,,,,,21.3274,21.3274
2026-05-04,1.8149,1.8149,4.0521,4.0521,,,,
2026-05-05,9.061,9.061,12.9466,12.9466,,,21.0131,21.0131
2026-05-06,-0.1758,-0.1758,4.8231,4.8231,,,21.365,21.365
2026-05-07,1.4313,1.4313,6.2956,6.2956,,,22.7586,22.7586
2026-05-08,-16.3242,-16.3242,-17.6899,-17.6899,,,-17.7754,-17.7754
2026-05-09,80.8014,80.8014,13.5686,13.5686,,,18.3027,18.3027
2026-05-10,0.8256,0.8256,11.3411,11.3411,,,19.3665,19.3665
2026-05-11,0.1521,0.1521,3.2327,3.2327,,,21.4696,21.4696
2026-05-12,0.893,0.893,3.3194,3.3194,10.2842,10.2842,17.2146,17.2146
