District,Rooms,Price,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Akdeniz / Barış,1+1,16888.88888888889,04,4.198800342759218,5.8311575282854715,,15.677321156773221
Akdeniz / Barış,2+1,18785.714285714286,04,-5.209698558322417,4.124051468162318,,4.990019960079852
Akdeniz / Barış,2.5+1,17000.0,04,0.0,-2.857142857142857,,-2.857142857142857
Akdeniz / Barış,3+1,17607.14285714286,04,-3.4623943035157922,-3.8938318504448572,,-21.26887340301974
Akdeniz / Barış,4+1,18000.0,04,-94.11764705882352,-94.11764705882352,,-92.44887257472469
Akdeniz / Camiişerif,1+1,14000.0,04,0.0,0.0,,36.58536585365854
Akdeniz / Camiişerif,2+1,16562.5,04,-51.75970873786409,-54.15224913494809,,-61.48255813953488
Akdeniz / Camiişerif,3+1,16500.0,04,-2.0771513353115725,-1.6556291390728455,,-2.6809651474530907
Akdeniz / Karaduvar,2+1,16900.0,04,-2.8735632183908044,-3.428571428571429,,-84.5662100456621
Akdeniz / Karaduvar,3+1,19550.0,04,3.7135278514588856,8.61111111111111,,-2.25
Akdeniz / Köyler,3+1,14000.0,04,0.0,0.0,,-36.36363636363637
Akdeniz / Merkez,2+1,15000.0,04,7.142857142857142,7.142857142857142,,
Akdeniz / Merkez,3+1,15000.0,04,0.0,0.0,,-16.666666666666664
Akdeniz / Mithatpaşa,1+1,8500.0,04,0.0,,,
Akdeniz / Mithatpaşa,3+1,14200.0,04,-4.269662921348318,-5.856353591160224,,1.4285714285714286
Akdeniz / Nusratiye,1+1,17500.0,04,0.0,12.0,,8.247422680412376
Akdeniz / Nusratiye,2+1,16500.0,04,-43.994778067885115,-43.7007874015748,,0.5076142131979622
Akdeniz / Nusratiye,3+1,16368.421052631578,04,-1.3950538998097695,1.457155284906473,,-2.8219900400351565
Akdeniz / Nusratiye,4+1,16375.0,04,-2.722772277227716,-7.746478873239436,,-0.7575757575757576
Akdeniz / Yenitaşkent,1+1,12500.0,04,0.0,0.0,,0.0
Akdeniz / Çankaya,1+1,14250.0,04,-1.7241379310344827,-1.7241379310344827,,-0.5813953488372136
Akdeniz / Çankaya,2+1,16621.428571428572,04,-7.556014619418396,-4.709254709254695,,5.9439498178875025
Akdeniz / Çankaya,3+1,17416.666666666668,04,-1.245704467353943,-0.19102196752625858,,-16.064257028112443
Akdeniz / Çay,2+1,14500.0,04,0.0,0.0,,
Akdeniz / Çay,3+1,12000.0,04,0.0,0.0,,0.0
Akdeniz / Özgürlük,2+1,15000.0,04,0.0,0.0,,29.310344827586203
Anamur / Göktaş,2+1,22250.0,04,0.0,0.0,,5.952380952380952
Anamur / Göktaş,3+1,25181.81818181818,04,0.8827874241943225,5.869823796904646,,12.544438801422034
Anamur / Göktaş,4+1,31000.0,04,0.0,0.0,,0.0
Anamur / Köyler,3+1,16000.0,04,0.0,,,3.225806451612903
Anamur / Merkez,1+1,16500.0,04,0.0,0.0,,0.0
Anamur / Merkez,3+1,15000.0,04,,,,
Anamur / Yıldırımbeyazıt,2+1,18500.0,04,0.0,0.0,,-15.909090909090908
Anamur / Yıldırımbeyazıt,3+1,30000.0,04,0.0,,,48.148148148148145
