date,avg_inflation_1d,tuik_weighted_1d,avg_inflation_7d,tuik_weighted_7d,avg_inflation_15d,tuik_weighted_15d,avg_inflation_30d,tuik_weighted_30d
2026-03-07,,,,,,,,
2026-03-08,0.423,0.423,,,,,,
2026-03-09,0.4458,0.4458,,,,,,
2026-03-10,0.4907,0.4907,,,,,,
2026-03-11,0.5774,0.5774,,,,,,
2026-03-12,0.7711,0.7711,,,,,,
2026-03-13,2.4517,2.4517,,,,,,
2026-03-14,-0.1319,-0.1319,0.4699,0.4699,,,,
2026-03-15,0.2482,0.2482,9.4288,9.4288,,,,
2026-03-16,-3.367,-3.367,-0.8266,-0.8266,,,,
2026-03-17,3.9468,3.9468,2.4594,2.4594,,,,
2026-03-18,4.0189,4.0189,4.7102,4.7102,,,,
2026-03-19,0.7933,0.7933,3.9424,3.9424,,,,
2026-03-20,3.9935,3.9935,5.4407,5.4407,,,,
2026-03-21,0.5536,0.5536,11.4558,11.4558,,,,
2026-03-22,0.4669,0.4669,7.8248,7.8248,14.3437,14.3437,,
2026-03-23,-25.0061,-25.0061,-17.748,-17.748,-50.7615,-50.7615,,
2026-03-24,5.5064,5.5064,16.0111,16.0111,21.9344,21.9344,,
2026-03-25,-0.5752,-0.5752,4.8954,4.8954,4.7667,4.7667,,
2026-03-26,,,17.2591,17.2591,14.1155,14.1155,,
2026-03-27,-0.385,-0.385,6.513,6.513,13.0232,13.0232,,
2026-03-28,1.3708,1.3708,5.9372,5.9372,9.464,9.464,,
2026-03-29,1.5792,1.5792,6.6468,6.6468,13.4568,13.4568,,
2026-03-30,2.4202,2.4202,206.6671,206.6671,14.4428,14.4428,,
2026-03-31,1.8268,1.8268,5.0899,5.0899,17.8378,17.8378,,
2026-04-01,0.6294,0.6294,5.5823,5.5823,13.9704,13.9704,,
2026-04-02,2.7926,2.7926,8.3538,8.3538,15.511,15.511,,
2026-04-03,-0.0498,-0.0498,10.1559,10.1559,17.877,17.877,,
2026-04-05,,,8.4474,8.4474,18.0626,18.0626,,
2026-04-06,-0.047,-0.047,4.92,4.92,19.1214,19.1214,26.943,26.943
2026-04-07,0.967,0.967,3.3936,3.3936,217.6794,217.6794,33.4294,33.4294
2026-04-08,2.3715,2.3715,8.0587,8.0587,29.2312,29.2312,27.2916,27.2916
2026-04-09,2.8606,2.8606,5.7884,5.7884,32.4095,32.4095,25.5666,25.5666
2026-04-10,1.7102,1.7102,13.4558,13.4558,28.0957,28.0957,32.2784,32.2784
2026-04-11,1.5108,1.5108,,,13.2229,13.2229,21.361,21.361
2026-04-12,1.6612,1.6612,5.8703,5.8703,15.536,15.536,25.3736,25.3736
2026-04-13,0.5886,0.5886,5.9853,5.9853,13.033,13.033,29.9636,29.9636
2026-04-27,,,,,15.4786,15.4786,27.0894,27.0894
2026-04-28,1.6351,1.6351,,,16.0487,16.0487,25.8933,25.8933
2026-04-29,-0.0865,-0.0865,,,,,18.5768,18.5768
2026-04-30,-0.0332,-0.0332,,,,,15.2184,15.2184
2026-05-01,1.7362,1.7362,,,,,23.985,23.985
2026-05-02,0.7566,0.7566,,,,,28.2827,28.2827
2026-05-03,0.4918,0.4918,,,,,25.2379,25.2379
2026-05-04,1.1306,1.1306,4.8296,4.8296,,,,
2026-05-05,6.6713,6.6713,10.333,10.333,,,25.9356,25.9356
2026-05-06,1.5679,1.5679,7.7449,7.7449,,,28.282,28.282
2026-05-07,0.6348,0.6348,6.2956,6.2956,,,26.9215,26.9215
2026-05-08,-7.9563,-7.9563,-5.8824,-5.8824,,,4.4011,4.4011
2026-05-09,40.5492,40.5492,9.4528,9.4528,,,21.3045,21.3045
2026-05-10,0.7926,0.7926,7.9639,7.9639,,,24.0914,24.0914
