Date,Overall_Avg_Price,Normal_Inflation_%,Weighted_Inflation_%
2026-03-07,14129.63,,0.0
2026-03-09,13434.21,-4.92,-2.56
2026-03-11,13178.57,-1.9,-8.58
2026-03-12,13302.63,0.94,1.25
2026-03-13,13202.38,-0.75,-0.93
2026-03-14,13289.47,0.66,0.78
2026-03-15,13355.26,0.5,0.49
2026-03-16,13319.44,-0.27,-0.14
2026-03-17,13319.44,0.0,0.0
2026-03-18,13387.5,0.51,1.3
2026-03-19,14062.5,5.04,4.35
2026-03-20,13902.78,-1.14,-0.83
2026-03-21,13338.24,-4.06,-3.68
2026-03-22,13647.06,2.32,2.58
2026-03-23,13611.11,-0.26,-0.28
2026-03-24,13796.88,1.36,1.41
2026-03-25,13734.38,-0.45,-0.52
2026-03-26,13703.12,-0.23,-0.23
2026-03-27,13073.53,-4.59,-4.71
2026-03-28,13458.33,2.94,2.94
2026-03-29,13458.33,0.0,0.26
2026-03-30,13180.56,-2.06,-2.12
2026-04-01,13486.84,2.32,3.24
2026-04-02,13559.52,0.54,0.61
2026-04-03,13272.73,-2.12,-2.24
2026-04-05,13565.79,2.21,0.31
2026-04-06,13654.76,0.66,0.34
2026-04-07,14035.71,2.79,2.98
2026-04-08,14079.55,0.31,-0.67
2026-04-09,14416.67,2.39,2.71
2026-04-10,14137.5,-1.94,-1.23
2026-04-11,13923.91,-1.51,-0.8
2026-04-12,13947.92,0.17,-0.53
2026-04-13,13937.5,-0.07,0.14
2026-04-14,14369.05,3.1,4.74
2026-04-15,14102.27,-1.86,-1.69
2026-04-16,14362.5,1.85,1.69
2026-04-17,13940.48,-2.94,-2.92
2026-04-18,14212.5,1.95,1.85
2026-04-19,14171.05,-0.29,-0.08
2026-04-20,13937.5,-1.65,-1.44
2026-04-21,14035.71,0.7,0.92
2026-04-22,14092.11,0.4,-0.07
2026-04-23,14092.11,0.0,0.0
2026-04-24,13726.19,-2.6,-2.45
2026-04-25,13737.5,0.08,0.09
2026-04-26,14202.38,3.38,3.45
2026-04-27,14118.42,-0.59,-0.24
2026-04-28,14236.11,0.83,0.57
2026-04-29,14013.16,-1.57,-1.37
2026-04-30,14236.11,1.59,1.34
2026-05-01,13855.26,-2.68,-2.41
2026-05-02,14544.12,4.97,3.84
2026-05-03,14544.12,0.0,0.0
2026-05-04,14661.76,0.81,1.31
2026-05-05,14953.12,1.99,1.47
2026-05-06,14703.12,-1.67,-1.86
2026-05-07,14216.67,-3.31,-4.6
2026-05-08,14557.69,2.4,2.32
2026-05-09,14557.69,0.0,0.0
2026-05-10,14770.83,1.46,0.41
2026-05-11,14875.0,0.71,-1.61
2026-05-12,15479.17,4.06,4.76
2026-05-13,15482.14,0.02,5.0
2026-05-16,15442.31,-0.26,3.11
2026-05-17,14480.77,-6.23,-4.07
2026-05-18,14480.77,0.0,0.0
2026-05-19,14160.71,-2.21,-2.41
2026-05-20,13640.62,-3.67,-3.88
2026-05-21,13883.33,1.78,2.07
2026-05-22,13883.33,0.0,0.0
2026-05-23,14197.37,2.26,1.22
2026-05-24,14661.76,3.27,3.56
2026-05-25,14308.82,-2.41,-2.51
2026-05-26,14078.12,-1.61,-1.88
