date,category,product,unit,monthly_qty,avg_unit_price_TRY,avg_monthly_cost_TRY,median_unit_price_TRY,median_monthly_cost_TRY,min_unit_price_TRY,min_monthly_cost_TRY,n_matched,matched_products
Mar 2026,Dairy Products,Yogurt,Kg,59.7,86.49,5163.45,79.97,4774.21,57.48,3431.56,23,Torku Yoğurt Yarım Yağlı Kova 2000 Gr; Torku Tam Yağlı Yoğurt 1500 Gr; Kebir Yoğurt Ev Tipi 2 Kg; İçim Doğal Yoğurt 2000 g; Deva Yoğurt Tam Yağlı Kova 2000 Gr; Sütaş Light Homojenize Yoğurt 650 Gr; Torku Tam Yağlı Yoğurt 500 Gr; İçim Doğal Yoğurt Yarım Yağlı 2000 Gr; Sütaş Sarımsaklı Yoğurt 500 g; Kebir Ev Tipi Yoğurt 1 Kg; Eker Yoğurt Kova 2000 g; Yörükoğlu Ev Yapımı Tadında Doğal Yoğ…; Yörükoğlu Yoğurt 1200 Gr; Yörükoğlu Yoğurt Homojenize 750 gr; Yörükoğlu Ev Tipi Yoğurt 3750 Gr; Pınar Yoğurt Lezzetin Alası 500 Gr; İtimat Yoğurt 500 Gr; İçim Yoğurt 750 Gr; Eker Yoğurt Efsane 1250 Gr; Eker Yoğurt Yarım Yağlı 1.5 Kg; Eker Yoğurt 750 Gr; Eker Yoğurt Efsane 350 Gr; Eker Yoğurt Bidon 2 Kg
Mar 2026,Dairy Products,White Cheese,Kg,5.7,436.41,2487.54,319.9,1823.43,129.99,740.94,32,Muratbey Sürmeli Taze Peynir 400 Gr; Ekici Lokum Kıvamında Beyaz Peynir 50…; Nur Ceylan Tam Yağlı Sert Beyaz Peyni…; Kebir Beyaz Peynir 800 g; Sütaş Beyaz Peynir 900 g; Sütaş Tam Yağlı Beyaz Peynir 500 g; İçim Tam Yağlı Beyaz Peynir 500 g; İçim Süzme Beyaz Peynir 500 g; İçim Beyaz Peynir 900 g; Ekici Beyaz Peynir Lokum Kıvamında Kg; Tahsildaroğlu Açık Beyaz Peynir Enhoş…; Sütaş Beyaz Peynir Klasik 500 Gr; Ekici Klasik Beyaz Peynir 250 G; Pınar Beyaz Peynir 8'Li 20 Gr; Teksüt Tam Yağlı Beyaz Peynir 500 Gr; Ayca Tam Yağlı Beyaz Peynir 500 Gr; Ayca Özel Tam Yağlı Beyaz Peynir 800 …; Sütaş Beyaz Peynir Süzme Küp Küp 200 …; İçim Süzme Beyaz Peynir 250 Gr; Eker Klasik Beyaz Peynir 500 g; Nur Ceylan Tam Yağlı Yumuşak Beyaz Pe…; Torku Tam Yağlı Taze Beyaz Peynir 900…; Kültürlü Beyaz Peynir Kg; Gürsüt Tadım Beyaz Peynir Yarım Yağlı…; Ekici Süzme Beyaz Peynir 400 Gr; Yörükoğlu Beyaz Peynir 900 Gr; Yörükoğlu Taze Beyaz Peynir 600 Gr; Teksüt Beyaz Peynir Süzme 750 Gr; Ayca Beyaz Peynir 800 gr; Sütaş Beyaz Peynir 250 g; Sütaş Klasik Beyaz Peynir Olgunlaştır…; Kebir Beyaz Peynir 1000 gr
Mar 2026,Meat and Protein,Cubed Meat / Lamb Meat,Kg,4.6,1104.99,5082.95,1249.99,5749.95,379.99,1747.95,4,Kuzu Kuşbaşı Kg; Akdeniz Toros Dana Kuşbaşı 500 g Donu…; Dana Kuşbaşı Yemeklik Kg; Akdeniz Toros Bonfile Kuşbaşı Kuru Yo…
Mar 2026,Meat and Protein,Chicken,Kg,10.3,295.27,3041.28,264.99,2729.4,169.99,1750.9,18,Akdeniz Toros Piliç Bütün Poşetli Kur…; Akdeniz Toros Piliç Fırınlık Üst But …; Akdeniz Toros Piliç Bonfile Kuru Yolu…; Akdeniz Toros Donuk Piliç Eko Kanat Kg; Donuk Piliç Kuru Yolum Sırtsız Kemikl…; Akdeniz Toros Piliç Kuru Yolum Donuk …; Akdeniz Toros Piliç Baget Kuru Yolum …; Akdeniz Toros Donuk Bütün Tavuk Kuru …; Akdeniz Toros Donuk Piliç Pirzola Kur…; Akdeniz Toros Piliç Donuk Kanat Kuru …; Akdeniz Toros Gezen Tavuk (Donuk) Büt…; Akdeniz Toros Piliç Pirzola Kuru Yolu…; Akdeniz Toros Piliç Kanat Kuru Yolum …; Akdeniz Toros Piliç Donuk Fırınlık Üs…; Akdeniz Toros Piliç Sırtsız Kemikli G…; Akdeniz Toros Piliç Derisiz Kemiksiz …; Akdeniz Toros Piliç But Kuru Yolum Kg; Akdeniz Toros Piliç Derisiz Kemiksiz …
Mar 2026,Meat and Protein,Fish,Kg,6.9,,,,,,,0,—
Mar 2026,Meat and Protein,Eggs,Piece,120.0,8.09,970.8,7.91,949.2,5.67,680.4,16,Anadolu Vitamin Yumurta 30'lu M; Anadolu Vitamin Yumurta 30'lu M; Anadolu Vitamin Yumurta L Boy 30’lu; Keskinoğlu Yumurta L Boy 30'lu; Keskinoğlu Yumurta 10'lu; Ferikyum Yumurta Gezen Ferikyum 10'Lu; Nezir Gezen Yumurta 15'li; Keskinoğlu Gezgin Tavuk Yumurtası 10'…; Ferikyum Gezen Tavuk Yumurtası 15'li; Keskinoğlu Yumurta 30'lu S; Anadolu Yumurta 15'li; Anadolu Yumurta 10'lu; Akdeniz Yumurta L Boy 30'lu; Keskinoğlu Yumurta L Boy 20'li; Keskinoğlu Yumurta (M) 30'lu; Keskinoğlu Yumurta 6'lı (M)
Mar 2026,Legumes,Chickpeas,Kg,1.8,142.09,255.76,139.95,251.91,94.99,170.98,7,Dinçer Beyaz Nohut 1 Kg; Happy Life Organik Nohut 500 gr; Duru Koçbaşı Nohut 8 Mm 1 Kg; Nohut Lüx 12 Ml Beyaz Kg; Dinçer Nohut Lüks 9 mm 1 Kg; Reis Koçbaşı Nohut 1000 g; Nohut Kg
Mar 2026,Nuts and Seeds,Walnut / Hazelnut / Peanut,Kg,2.7,967.04,2611.01,799.67,2159.11,221.94,599.24,25,Peyman Bahçeden Kavrulmuş Fındık 160 …; Tadım Ceviz İçi 150 Gr; Tadım Kavrulmuş Tuzlu Yer Fıstığı 90 …; Tadım Tuzlu Yer Fıstığı 180 g; Peyman Bahçeden İç Ceviz 140 g; Peyman Tuzlu Kavrulmuş Fındık 140 g; Peyman Bahçeden Kavrulmuş Yer Fıstığı…; Tadım Kavrulmuş Fındık İçi 90 Gr; Peyman Nutzz Acılı Iç Yer Fıstığı 130…; Peyman Nutzz Yer Fıstığı Kızartılmış …; Mumcu Kuruyemiş Ceviz İçi 150 Gr; Mumcu Kuruyemiş Fındık İçi 180 Gr; Tadım Kavrulmuş Fındık İçi 180 g; Fiskobirlik Fındık İçi 250 Gr; Master Nut Fındık İçi 130 Gr; Master Nut Master Nut Kavrul.tuzlu Fı…; Master Nut Yer Fıstığı Kızartılmış Tu…; Mumcu Yer Fıstığı Soyulmuş 180 Gr; Peyman Nutzz Popcorn Yer Fıstığı Ve B…; Master Nut Yer Fıstığı İç Tuzlu 160 Gr; Master Nut Yer Fıstığı Kızartıl Acılı…; Kavrulmuş Kabuklu Yer Fıstığı 250 Gr; Mumcu Fındık İçi 90 gr; Orgibite Kavrulmuş Tuzlu Yer Fıstığı …; Master Farm Ceviz İçi 150 gr
Mar 2026,Grains,Bread,Kg,18.0,158.35,2850.3,170.0,3060.0,19.95,359.1,20,Untad Premium 12 Tahıllı Ekmek 480 g; Uno Fırından Tam Çavdarlı Ekmek 450 g; Pakmaya Harç Ekmek Esmer; Ekmek Odun 200 Gr; Uno Premium Çavdarlı & Karabuğdaylı E…; Uno Premium Çok Tahıllı Ekmek 350 g; Untad Ekmek Light 500 Gr; Untad Ekmek Kepekli 500 Gr; Untad Otantik Cok Tahilli Keten Toh.E…; Untad Otantik Eksi Mayali Ekmek 540 Gr; Uno Tam Buğday Unlu Ekmek 450 G; Uno Premium Çok Tahıllı Ekmek 400 g; Uno Premium Çavdarlı ve Karabuğdaylı …; İhe Ekmek Altın Çörek Fındıklı Ve Üzü…; İhe Ekmek Dilimli Çavdar 400 Gr; İhe Ekmek Tuzsuz Tam Buğday Unlu 400 …; İhe Ekmek Çok Tahıllı Tahıl Ambarı 50…; İhe Ekmek Tam Buğday 400 Gr; İhe Ekmek Organik Tam Buğday 500 Gr; Uno Premium Çok Tahıllı Ekmek 350 g
Mar 2026,Fruits,Banana,Kg,16.7,139.99,2337.83,139.99,2337.83,119.99,2003.83,2,Muz Yerli Kg; Muz İthal Kg
