date,category,product,unit,monthly_qty,avg_unit_price_TRY,avg_monthly_cost_TRY,median_unit_price_TRY,median_monthly_cost_TRY,n_matched,matched_products
Feb 2026,Dairy Products,Yogurt,Kg,59.7,71.21,4251.24,71.21,4251.24,2,Torku Yarım Yağlı Yoğurt 2 Kg; Torku Yarım Yağlı Yoğurt 750 Ml
Feb 2026,Dairy Products,White Cheese,Kg,5.7,394.95,2251.22,399.95,2279.72,4,Tahsildaroğlu Lüx Klasik Beyaz Peynir…; Binnur Klasik Beyaz Peynir Kg; Sütaş Klasik Beyaz Peynir 3 Dilim 450…; Binnur Klasik Beyaz Peynir Kg
Feb 2026,Meat and Protein,Cubed Meat / Lamb Meat,Kg,4.6,890.0,4094.0,890.0,4094.0,1,Dana Az Yağlı Kuşbaşı Kg
Feb 2026,Meat and Protein,Chicken,Kg,10.3,110.0,1133.0,110.0,1133.0,2,Şenpiliç Kalçalı But Kg; Şenpiliç Piliç Bütün Poşet Kg
Feb 2026,Meat and Protein,Fish,Kg,6.9,,,,,0,—
Feb 2026,Meat and Protein,Eggs,Piece,120.0,10.0,1200.0,10.0,1200.0,1,Sarı Efe Çiftliği Gezen Tavuk Yumurta…
Feb 2026,Legumes,Chickpeas,Kg,1.8,,,,,0,—
Feb 2026,Nuts and Seeds,Walnut / Hazelnut / Peanut,Kg,2.7,,,,,0,—
Feb 2026,Grains,Bread,Kg,18.0,,,,,0,—
Feb 2026,Fruits,Banana,Kg,16.7,144.9,2419.83,144.9,2419.83,1,Muz İthal Kg
Feb 2026,Fruits,Seasonal Fruit,Kg,12.9,171.17,2208.09,159.9,2062.71,8,Çilek Kg; Kavun Kg; Armut Santamaria Kg; Çilek Kg; Kivi Kg; Kavun Kg; Mayhoş Nar Kg; Armut Santamaria Kg
Feb 2026,Vegetables,Onion,Kg,18.0,64.95,1169.1,64.95,1169.1,2,Soğan Yahnilik Adet; Soğan Beyaz Kg
Feb 2026,Vegetables,Eggplant / Zucchini,Kg,23.1,133.28,3078.77,132.44,3059.36,6,Patlıcan Kg; Kabak Kg; Patlıcan Topan Kg; Patlıcan Kg; Patlıcan Topan Kg; Patlıcan Kg
Feb 2026,Vegetables,Other Vegetables,Kg,11.8,,,,,0,—
Feb 2026,Oils,Olive Oil,Liter,1.1,,,,,0,—
Feb 2026,Other Food Products,Grissini,Kg,2.1,,,,,0,—
Mar 2026,Dairy Products,Yogurt,Kg,59.7,67.46,4027.36,67.46,4027.36,2,Torku Yarım Yağlı Yoğurt 2 Kg; Torku Yarım Yağlı Yoğurt 750 Ml
Mar 2026,Dairy Products,White Cheese,Kg,5.7,359.12,2046.98,399.95,2279.72,6,Tahsildaroğlu Asos Klasik Beyaz Peyni…; Tahsildaroğlu Lüx Klasik Beyaz Peynir…; Binnur Klasik Beyaz Peynir Kg; Sütaş Klasik Beyaz Peynir 3 Dilim 450…; Binnur Klasik Beyaz Peynir Kg; Sütaş Beyaz Peynir 500 Gr
Mar 2026,Meat and Protein,Cubed Meat / Lamb Meat,Kg,4.6,890.0,4094.0,890.0,4094.0,1,Dana Az Yağlı Kuşbaşı Kg
Mar 2026,Meat and Protein,Chicken,Kg,10.3,166.33,1713.2,115.0,1184.5,3,Şenpiliç Bonfile Kg; Şenpiliç Kalçalı But Kg; Şenpiliç Piliç Bütün Poşet Kg
Mar 2026,Meat and Protein,Fish,Kg,6.9,,,,,0,—
Mar 2026,Meat and Protein,Eggs,Piece,120.0,10.0,1200.0,10.0,1200.0,1,Sarı Efe Çiftliği Gezen Tavuk Yumurta…
Mar 2026,Legumes,Chickpeas,Kg,1.8,,,,,0,—
Mar 2026,Nuts and Seeds,Walnut / Hazelnut / Peanut,Kg,2.7,,,,,0,—
Mar 2026,Grains,Bread,Kg,18.0,,,,,0,—
Mar 2026,Fruits,Banana,Kg,16.7,164.9,2753.83,164.9,2753.83,1,Muz İthal Kg
Mar 2026,Fruits,Seasonal Fruit,Kg,12.9,170.4,2198.16,164.9,2127.21,10,Çilek Kg; Çilek Kg; Kavun Kg; Armut Santamaria Kg; Çilek Kg; Kivi Kg; Armut Deveci Kg; Kavun Kg; Mayhoş Nar Kg; Armut Santamaria Kg
Mar 2026,Vegetables,Onion,Kg,18.0,64.9,1168.2,64.9,1168.2,2,Soğan Yahnilik Adet; Soğan Beyaz Kg
Mar 2026,Vegetables,Eggplant / Zucchini,Kg,23.1,105.73,2442.36,109.9,2538.69,6,Patlıcan Kg; Kabak Kg; Patlıcan Topan Kg; Patlıcan Kg; Patlıcan Topan Kg; Patlıcan Kg
Mar 2026,Vegetables,Other Vegetables,Kg,11.8,,,,,0,—
Mar 2026,Oils,Olive Oil,Liter,1.1,,,,,0,—
Mar 2026,Other Food Products,Grissini,Kg,2.1,,,,,0,—
Apr 2026,Dairy Products,Yogurt,Kg,59.7,69.95,4176.02,69.95,4176.02,1,Torku Yarım Yağlı Yoğurt 750 Ml
Apr 2026,Dairy Products,White Cheese,Kg,5.7,318.7,1816.59,349.95,1994.71,4,Binnur Klasik Beyaz Peynir Kg; Sütaş Tam Yağlı Beyaz Peynir 900 Gr; Binnur Klasik Beyaz Peynir Kg; Sütaş Beyaz Peynir 500 Gr
Apr 2026,Meat and Protein,Cubed Meat / Lamb Meat,Kg,4.6,879.95,4047.77,879.95,4047.77,1,Dana Az Yağlı Kuşbaşı Kg
