date,category,product,unit,monthly_qty,avg_unit_price_TRY,avg_monthly_cost_TRY,median_unit_price_TRY,median_monthly_cost_TRY,min_unit_price_TRY,min_monthly_cost_TRY,n_matched,matched_products
Feb 2026,Dairy Products,Yogurt,Kg,59.7,,,,,,,0,—
Feb 2026,Dairy Products,White Cheese,Kg,5.7,,,,,,,0,—
Feb 2026,Meat and Protein,Cubed Meat / Lamb Meat,Kg,4.6,,,,,,,0,—
Feb 2026,Meat and Protein,Chicken,Kg,10.3,,,,,,,0,—
Feb 2026,Meat and Protein,Fish,Kg,6.9,,,,,,,0,—
Feb 2026,Meat and Protein,Eggs,Piece,120.0,,,,,,,0,—
Feb 2026,Legumes,Chickpeas,Kg,1.8,61.25,110.25,61.25,110.25,53.5,96.3,2,DENİZLİ KOOP. NOHUT 1000 GR; POLATLI ZİRAAT ODASI NOHUT 2000 GR
Feb 2026,Nuts and Seeds,Walnut / Hazelnut / Peanut,Kg,2.7,438.0,1182.6,197.0,531.9,178.0,480.6,4,YARBAŞI KOOP. TUZLU KAVRULMUŞ KABUKSUZ YER F…; TIREBOLU KOOP. FINDIK İÇİ 500GR (ADET); YARBAŞI KAVRULMUŞ TUZLU YER FISTIĞI 500 GR; YARBAŞI KAVRULMUŞ TUZLU YER FISTIĞI 1000 GR
Feb 2026,Grains,Bread,Kg,18.0,98.57,1774.26,90.0,1620.0,72.0,1296.0,13,EKŞİ MAYALI SÜTLÜ EKMEK 500 G; KUTLUDÜĞÜN EKŞİ MAYALI EKMEK 800 GR; ROLL SİYEZ BUĞDAYLI EKMEK 50 GR; EKŞİ MAYALI KARIŞIK TAHIL UNLU EKMEK (400 G); EKŞİ MAYALI KARABUĞDAY UNLU EKMEK (500 G); EKŞİ MAYALI ÇAVDARLI EKMEK (400 G); EKŞİ MAYALI SİYEZ UNLU EKMEK (400G); ROLL TAM BUĞDAY UNLU EKMEK 50 Gr; ROLL NORMAL EKMEK 50 GR; ROLL TUZ İLAVESİZ EKMEK 50 GR; ROLL KEPEKLİ EKMEK 50 GR; GLUTENSİZ EKMEK 250 GR; ROLL ÇAVDARLI EKMEK 50 GR
Feb 2026,Fruits,Banana,Kg,16.7,,,,,,,0,—
