date,category,product,unit,monthly_qty,avg_unit_price_TRY,monthly_cost_TRY,n_matched,matched_products
Feb-23 2026,Dairy Products,Yogurt,Kg,59.7,166.29,9927.51,33,"Sütaş Kaymaksız Yoğurt 2 kg; İçim Doğal Kaymaksız Yoğurt 2000 Gr; Eker Kaymaksız Yoğurt 2000 Gr; Carrefour Tam Yağlı Yoğurt 1,5 Kg; Yörüksüt Yarım Yağlı Yoğurt 3000 g; İçim Homojenize Doğal Yoğurt 500 Gr; Eker Efsane Yoğurt 350 G; İçim Doğal Yoğurt 1200 Gr; Carrefour Yarım Yağlı Yoğurt 2,5 Kg; Pınar Yoğurt 150 G; Yörüksüt Doğal Yoğurt 750 g; İçim Kaymaksız Yoğurt 1000 Gr; Yörüksüt Doğal Yoğurt 500 g; Eker Şeftali Kayısılı Yoğurt 65 g; Yörüksüt Bidon Yoğurt 2000 Gr; Yörüksüt Çömlek Yoğurt 700 g; Eker Yoğurt Efsane 750 G; Sütaş Homojen Yoğurt 600 g; Sütaş Homojenize Yoğurt 1000 g; Sek Ekşi Maya Yoğurt 750 g; Sek Çiftlik Kaymaksız Yoğurt 1200 Gr; İçim Doğal Yoğurt 750 G; Eker Bidon Yoğurt 2000 Gr; Sek Çiftlik Kaymaksız Yoğurt 450 G; Eker Homojenize Yoğurt 1500 Gr; Sütaş Light Yoğurt 650 g; Eker Tam Yağlı Yoğurt 200 Gr; Sek %0,6 Yağlı Light Yoğurt 500 g; Eker Efsane Yoğurt 1250 G; Sek Çiftlik Kaymaksız Yoğurt 900 Gr; Züber Noutos Yoğurt Ve Mevsim Yeşillikleri 5…; Lay’S Yoğurt & Mevsim Yeşillikli Parti Boy 1…; Lay’S Yoğurt & Mevsim Yeşillikleri Süper Boy…"
Feb-23 2026,Dairy Products,White Cheese,Kg,5.3,531.93,2819.23,37,Carrefour Olgunlaştırılmış Beyaz Peynir 600 …; Bahçıvan Tam Yağlı Taze Beyaz Peynir 900 Gr; Ekici Beyaz Peynir Tam Yağlı 500 Gr; İçim Beyaz Peynir 900 Gr; Ekici Tam Yağlı Beyaz Peynir 800 g; Sütaş Tam Yağlı Beyaz Peynir 500 g; Tahsildaroğlu Klasik İnek Beyaz Peynir 500 Gr; Carrefour Taze Beyaz Peynir 200 Gr; Ulus Klasik Tam Yağlı Olgunlaştırılmış Beyaz…; Carrefour Tam Yağlı Taze Beyaz Peynir 500 Gr; Sütaş Beyaz Peynir 250 g; Tahsildaroğlu Klasik İnek Beyaz Peyniri Kg; Ekici Tam Yağlı Olgunlaştırılmış Beyaz Peyni…; Ünal Klasik Beyaz Peynir Kg; Carrefour Tam Yağlı Taze Beyaz Peynir 1000 Gr; Ekici Tam Yağlı Beyaz Peynir Kg; Ulus Klasik Tam Yağlı Olgunlaştırılmış Beyaz…; İçim Kutu Beyaz Peynir 500 Gr; Altınkılıç Tam Yağlı Otlu Beyaz Peynir 100 Gr; Ünal Olgunlaştırılmış Beyaz Peynir 500 g; Ekici Klasik Beyaz Peynir Kg; Sütaş Beyaz Peynir 900 g; Sek Tam Yağlı Beyaz Peynir 800 Gr; Calmio Tam Yağlı Beyaz Peynir Kg; Ulus Klasik Tam Yağlı Olgunlaştırılmış Beyaz…; Ulus Tam Yağlı Yuvarlak Beyaz Peynir; İ-Anatolia Edirne Beyaz Peyniri 200 g; İ-Anatolia Ezine Beyaz Peyniri 200 g; Bahçıvan Gurme Beyaz Peynir 450 G; Antre Gourmet Beyaz Peynir (Keçi); Antre Gourmet Ezine Beyaz Peynir Kg; Carrefour Otlu Beyaz Peynir 250 G; Carrefour Olgunlaştırılmış Beyaz Peynir 350 G; Boyacıoğulları Ömür Taze Otlu Beyaz Peyniri …; Peysan Taze Beyaz Peynir Az Yağlı 800 g; Furora Anatolian White Vegan Beyaz Peynir 45…; İ-Anatolia Klasik Beyaz Peynir Kg
Feb-23 2026,Meat and Protein,Cubed Meat / Lamb Meat,Kg,3.3,919.9,3035.67,2,Dana Kuşbaşı Kg; Kuzu Kuşbaşı Kg
Feb-23 2026,Meat and Protein,Chicken,Kg,7.0,189.36,1325.52,37,Lezita Taze Poşetli Bütün Piliç Kg; Banvit Piliç Baget Kg; Banvit İftarlık İri Piliç Kg; Banvit Piliç Pirzola Kg; Erpiliç Poşetli Bütün Piliç; Erpiliç Tabaklı Bonfile Kg; Banvit Tabaklı Piliç Izgara Kanat Kg; Lezita Izgara Dilimli Piliç Fileto 120 G; Beypiliç Tabaklı Bonfile; Beypiliç Donuk Pekin Ördeği Bütün Kg; Erpiliç Tabaklı Baget Kg; Lezita Farmelia Poşetli Piliç Kg; Beypiliç Tabaklı Pirzola; Banvit Piliç Nuget 300 Gr; Erpiliç Tabaklı But Izgara Kg; Erpiliç Kalçalı But Kg; Erpiliç Derili But Pirzola Tabak; Beypiliç Piliç Fileto Kg; Gedik Poşetli Bütün Piliç; Erpiliç Tabaklı Kırlangıç Piliç Bonfile kg; Bupiliç Tabak But Pirzola kg; Beypiliç Tabaklı Taşlık; Banvit Piliç Nuget 700 Gr; Erpiliç Schitzel 800 gr; Beypiliç Tabaklı Kanat Izgara; Beypiliç Tabaklı Biftek Izgara; Beypiliç Tabaklı But; Beypiliç Tabaklı Ciğer; Beypiliç Tabaklı Baget; Beypiliç Poşetli Bütün Piliç Kg; Yılbaşı Piliç (Roaster) Kg; Lezita Dondurulmuş Jumbo Piliç Fileto 700 Gr; Erpiliç Tabaklı Taşlık; Erpiliç Tabaklı Ciğer Yürek; Erpiliç Tabaklı Üst Kanat; Erpiliç Tabaklı Kanat Izgara; Pınar Piliç Şnitzel 415 Gr
Feb-23 2026,Meat and Protein,Fish,Kg,5.1,795.35,4056.28,7,Levrek 400-600 g; Levrek 600-800 g; Levrek 300-400 g; Levrek 800-1000 g; Mezzemarin Soslu Hamsi 200 g; Marex Simit Levrek 400 Gr; Balık Dünyası Dondulmuş Hamsi 500 g
Feb-23 2026,Meat and Protein,Eggs,Piece,60.0,14.84,890.4,18,Carrefour Yumurta 15'li L Boy; Carrefour Bio Organik Yumurta 10'lu; Carrefour Yumurta 30'lu M Boy; Carrefour Gezen Tavuk Yumurtası 15'li M Boy; City Farm Organik Yumurta 10'lu No:0; Kumbasar 30'lu Yumurta 53-62 g No:3; Kumbasar Yumurta 15'li 63-72 g No:3; Carrefour Bio Organik Yumurta 6'lı; Kumbasar 6'lı Yumurta 53-62 g No:3; Doğalım Yumurta 6'lı 53-62 g No:3; Kumbasar Jumbo 10'lu Yumurta 73 g Üstü No:3; Kumbasar Kahverengi Yumurta 53-62 g 10'lu No…; Doğalım Yumurta 15'li 53-62 g No:3; Kumbasar Yumurta 30'lu 63-72 g No:3; Flotty Herbs Organik Yumurta 10’Lu 53-62 No:0; Sade Organik Yumurta 10'lu No:0; Yumurtalı Ramazan Pidesi 350 g; Yumurtalı Ramazan Pidesi 350 g
Feb-23 2026,Legumes,Chickpeas,Kg,5.6,170.36,954.02,6,Carrefour Nohut 1 Kg; Reis Nohut 1000 Gr; Carrefour Beyaz Nohut 1 Kg; Royal Beyaz Nohut 500 g; Duru Koçbaşı Nohut 8 mm 1 kg; Hasata Beyaz Nohut 1 kg
Feb-23 2026,Nuts and Seeds,Walnut / Hazelnut / Peanut,Kg,2.7,724.95,1957.37,30,Carrefour Ceviz İçi 150 G; Carrefour Tuzlu Yer Fıstığı 150 G; Tadım Ceviz İçi 70 G; Tadım Kavrulmuş Fındık İçi 180 G; Bahçeden Kavrulmuş Yer Fıstığı 175 Gr; Tadım Tuzlu Yer Fıstığı 90 G; Tadım Tuzsuz Fırınlanmış Yer Fıstığı 180 Gr; Carrefour Çiğ Ceviz İçi 70 G; Tadım Fındık İçi 90 G; Master Nut Kızartılmış Tuzlu Yer Fıstığı 150…; Carrefour Kavrulmuş Fındık İçi 150 G; Carrefour Kavrulmuş Fındık İçi 300 Gr; Master Nut Kavrulmuş Tuzlu Fındık İçi 140 G; Bahçeden Kızartılmış Yer Fıstığı 150 G; Tuzlu Kabuklu Yer Fıstığı; Tadım Kabuklu Yer Fıstığı 250 G; Tadım İşlenmiş Yer Fıstığı 180 G; Master Nut İç Yer Fıstığı Tuzlu 160 G; Tuzsuz Yer Fıstığı Kg; Carrefour Kabuklu Yer Fıstığı 400 Gr; Fındık İçi Kg; B-5 Çerez Yer Fıstığı 40 Gr; Tadım Fındık İçi Çiğ 140 G; Carrefour Çiğ Fındık İçi 150 G; Fındık İçi Çiğ; Fındık İçi Giresun; Tadım Acı Sos Kaplamalı Yer Fıstığı 140 g; Tuzlu Yer Fıstığı Kg; City Farm Organik Yer Fıstığı 300 Gr; City Farm Organik Yer Fıstığı 300 Gr
Feb-23 2026,Grains,Bread,Kg,18.0,147.7,2658.6,28,Normal Ekmek 200 g; İhe Tam Buğday Ekmek; Uno Premium Çok Tahıllı Ekmek 400 g; Uno Tam Buğday Ve Kavılca Unlu Ekmek 450 G; Papatya Ekmek 500 g; Uno Denge Tam Buğdaylı&Çiya Tohumlu Ekmek 40…; Ekşi Mayalı Tam Buğdaylı Ekmek 500 g; Geleneksel Fransız Baget Ekmek 350 g; İhe Çavdar Ekmek; İhe Tuzsuz Tam Buğday Ekmek 400 Gr; Baget Ekmek 250 g; Untad Tandır Ekmek 276 g; İhe Zeytinli Ve Kekikli Ekmek 50 g; Uno Premium Çavdarlı Ekmek 400 g; Küçük Ekmek 4'lü; Ekşi Mayalı Artizan Ekmek 500 g; Çavdarlı Ekmek 250 g; Ekşi Mayalı Ekmek 500 g; Ekşi Mayalı Kepekli Artizan Ekmek 500 g; Kepekli Ekşi Mayalı Ekmek 500 g; Yoğun Tahıllı Ekmek 1 kg; Untad 12 Tahıllı Ekmek 480 g; İhe Tuzsuz Çavdar Ekmek 400 Gr; Susamlı Baget Ekmek 250 g; Uno Fırından Tam Çavdarlı Ekmek 450 G; İhe Çok Tahıllı Ekmek Siyez Buğdaylı 500 Gr; Untad Çiya Tohumlu Kekikli Ekmek 480 G; La Lorraine Tombul Ekmek 320 g; Untad Premium Tam Buğday Ceşnili Ekmek 480 g
Feb-23 2026,Fruits,Banana,Kg,16.7,104.9,1751.83,2,Yerli Muz kg; İthal Muz kg
Feb-23 2026,Fruits,Seasonal Fruit,Kg,12.9,144.68,1866.37,8,Nar kg; Çilek kg; Deveci Armut kg; Kivi kg; Kanlı Greyfurt kg; Red Globe Üzüm  kg; Armut Deveci Gurme Kg; Armut Santa Maria kg
Feb-23 2026,Vegetables,Onion,Kg,18.0,20.9,376.2,2,Soğan Kuru (Yeni Hasat) Kg; Soğan Gümüş Kg
Feb-23 2026,Vegetables,Eggplant / Zucchini,Kg,34.7,232.71,8075.04,8,Bostan Patlıcan kg; Sakız Kabak kg; Patlıcan Kemer Pazar; Erüs Mini Patlıcan; Erüst Mini Kabak 250 gr; Tat Közlenmis Patlıcan 520 G; Tat Patlıcan Salata Cam 520 G; Fersan Köz Patlıcan 650 g
Feb-23 2026,Vegetables,Other Vegetables,Kg,14.8,507.18,7506.26,21,Mantar 300 g; Kırmızı Lahana kg; Enginar Soyulmuş 5'li; Beyaz Lahana kg; Ispanak kg; Brokoli  kg; Mantar Kestane 350 g; Paket Ispanak 700 g; Mantar İstiridye 200 g; Dilim Mantar 400 g; Mantar Izgaralık 1000 g; Mantar 300 g; Erüst Mini Ispanak 150 g Adet; Erüst Mini Çin Lahanası 2'li; Eurofresh Yıkanmış Hazır Kök Ispanak 500 g; Erüst Mini Ispanak 150 g Adet; Napoli Antica Trüf Mantarlı Tereyağı 125 g; Napoli Antica Trüf Mantarlı Tereyağı 200 g; Tat Enginar 610 G; Casa Verde Enginar Kalbi 280 g; Meze Mantar Salatası Kg
Feb-23 2026,Oils,Olive Oil,Liter,1.0,540.74,540.74,43,"Yudum Egemden Sızma Zeytinyağı Yumuşak Lezze…; Tariş Kuzey Ege Sızma Zeytinyağı 2 Lt; Yudum Egemden Riviera Zeytinyağı 1 Litre; Komili Ege Sızma Yumuşak Zeytinyağı 2 Lt; Carrefour Selection Erken Hasat Soğuk Sıkım …; Carrefour Selection Naturel Sızma Zeytinyağı…; Yudum Egemden Riviera Zeytinyağı 5 lt; Yudum Egemden Natürel Sızma Zeytinyağı 500 ml; Kristal Natürel Sızma Zeytinyağı 1 Lt; Tariş Kuzey Ege Sızma Zeytinyağı 1 Litre; Tariş Güney Ege Sızma Zeytinyağı 1 Lt; Tariş Naturel Sızma Zeytinyağı 750 ml; Komili Sızma Meyvemsi Zeytinyağı 500 ml; Komili Riviera Zeytinyağı 500 ml; Carrefour Selection Naturel Sızma Zeytinyağı…; Kristal Sızma Zeytinyağı 500 ml; Zeytin İskelesi Naturel Sızma Zeytinyağı 0,5…; Tariş Riviera Zeytinyağı 2 Lt; Zeytin İskelesi Naturel Sızma Zeytinyağı 1 L…; Yudum Egemden Sızma Zeytinyağı Yumuşak Lezze…; Yudum Egemden Naturel Sızma Zeytinyağı Yoğun…; Yudum Egemden Natural Sızma Zeytinyağı Yumuş…; Zeytin İskelesi Naturel Sızma Zeytinyağı 2 Lt; Komili Riviera Zeytinyağı 1lt; Tariş Kuzey Ege Sızma Zeytinyağı 750 ml; Tariş Naturel Sızma Zeytinyağı 500 ml; Kristal Ayvalık Sızma Zeytinyağı 500 ml; Kristal Natürel Sızma Zeytinyağı 2 Lt; Tariş Erkence Zeytinyağı 500 ml; Kristal Riviera Zeytinyağı 1 Lt; Tariş Güney Ege Sızma Zeytinyağı Cam 750 ml; Komili Ege Sızma Yumuşak Zeytinyağı 500 ml; Komili Sızma Meyvemsi Zeytinyağı 1 Litre; Komili Sızma Meyvemsi Zeytinyağı 2 Lt; Komili Banmalık Natürel Sızma Zeytinyağı 1 L…; Marmarabirlik Natürel Sızma Zeytinyağı Pet Ş…; Yudum Egemden Sızma Zeytinyağı Ayvalıklı Kad…; Yudum Egemden Soğuk Sıkım Natürel Sızma Zeyt…; Yudum Egemden Özel Tasarım Organik Sızma Zey…; Yudum Egemden Erken Hasat Natürel Sızma Zeyt…; Zeytin İskelesi Organik Sızma Zeytinyağı 1 Lt; Zeytin İskelesi Organik Sızma Zeytinyağı 1 Lt; Zeytin İskelesi Organik Sızma Zeytinyağı 0.5…"
