date,category,product,unit,monthly_qty,avg_unit_price_TRY,avg_monthly_cost_TRY,median_unit_price_TRY,median_monthly_cost_TRY,n_matched,matched_products
Feb 2026,Dairy Products,Yogurt,Kg,59.7,89.87,5365.24,91.62,5469.71,25,Eker Efsane Tam Yağlı Yoğurt 750 Gr; Eker Efsane Yoğurt 350 Gr; Eker Homojenize Yoğurt 1500 Ml; Eker Yoğurt 150 Gr; Eker Yoğurt Kova 2 Kg; İçim Doğal Yoğurt 2000 Gr; İçim Doğal Yoğurt 500 Gr; İçim Doğal Yoğurt 750 Gr; İçim Tam Yağlı Yoğurt 1200 Gr; İçim Yarım Yağlı Yoğurt 2 Kg; İçim Yarım Yağlı Yoğurt 3000 Gr; Pınar Lezzetin Alası Yoğurt 500 Gr.; Pınar Yarım Yağlı Doğal Yoğurt 2000 Gr; Pınar Yoğurt Lezzetin Alası 1000 Gr; Sütaş Homojen Yoğurt 1500 Gr; Sütaş Kaymaksız Yoğurt 1000 Gr; Sütaş Kaymaksız Yoğurt 2000 Gr; Sütaş Kaymaksız Yoğurt 600 Gr; Sütaş Light Yoğurt 650 Gr; Sütaş Yarım Yağlı Kaymaksız Kase Yoğurt 3000 …; Torku Tam Yağlı Yoğurt 900 Gr; Yörükoğlu Az Yağlı Yoğurt 1750 Gr; Yörükoğlu Ev Yapımı Tadında Yoğurt 1750 Gr; Yörükoğlu Homojenize Yoğurt 750 Gr; Yörükoğlu Yarım Yağlı Homojenize Yoğurt 2000 …
Feb 2026,Dairy Products,White Cheese,Kg,5.7,393.62,2243.63,339.8,1936.86,17,Gürmar Ekstra Klasik Beyaz Peynir - 500 Gr.; Gürmar Lüks Klasik Beyaz Peynir - 500 Gr.; Gürmar Mevsim Beyaz Peynir - 500 Gr.; Gürsüt Klasik Beyaz Peynir 300 Gr; Gürsüt Köy Taze Beyaz Peynir - 500 Gr.; Gürsüt Köy Taze Beyaz Peynir 500 Gr; Gürsüt Tadım Beyaz Peynir - 500 Gr.; İçim Süzme Beyaz Peynir 900 Gr; İçim Tam Yağlı Beyaz Peynir 900 Gr; İçim Taze Peynir 180 Gr; Pınar Tam Yağlı Taze Beyaz Peynir 180 Gr; Sütaş Klasik Beyaz Peynir 450 Gr; Sütaş Light Beyaz Peynir 700 Gr; Sütaş Süzme Beyaz Peynir 250 Gr; Sütaş Süzme Beyaz Peynir 500 Gr; Sütaş Süzme Beyaz Peynir 900 Gr; Sütaş Tam Yağlı Beyaz Peynir 900 Gr
Feb 2026,Meat and Protein,Cubed Meat / Lamb Meat,Kg,4.6,1219.9,5611.54,1219.9,5611.54,2,Dana Kol Kuşbaşı - 500 Gr.; Kuzu Kuşbaşı - 500 Gr.
Feb 2026,Meat and Protein,Chicken,Kg,10.3,244.41,2517.42,219.0,2255.7,25,"Akdeniz Toros Bütün Piliç (Donuk Olarak Satıl…; Akdeniz Toros Gezen Tavuk Bütün (Donuk Olarak…; Akdeniz Toros Piliç Baget (Donuk Olarak Satıl…; Akdeniz Toros Piliç Bonfile (Donuk Olarak Sat…; Akdeniz Toros Piliç But (Donuk Olarak Satılır…; Akdeniz Toros Piliç Kanat (Donuk Olarak Satıl…; Akdeniz Toros Piliç Nuggut 500 Gr; Erpiliç Baget - 1 Kg.; Erpiliç Bonfile - 1 Kg.; Erpiliç But - 1 Kg.; Erpiliç Göğüs - 1 Kg.; Erpiliç Pirzola - 1 Kg.; Erpiliç Schnitzel 300 Gr; Erpiliç Tabaklı Cordon Blue 300 Gr; Erpiliç Üst Kanat - 1 Kg.; Hastavuk Bütün Piliç - 2 Kg.; Hastavuk Piliç Ba - 1 Kg.; Hastavuk Piliç Bonfile(File - 1 Kg.; Hastavuk Piliç But Ka - 1 Kg.; Hastavuk Piliç Kalçalı - 1 Kg.; Hastavuk Piliç Parmak Bonf - 1 Kg.; HasTavuk Roaster Tavuk - 1 Kg.; Lezita Poşetli Bütün Piliç - 1,5 Kg.; Pınar Piliç Şnitzel 415 Gr; Tavuk-Kemikli Göğüs Tabaklı (Donuk Olarak Sat…"
Feb 2026,Meat and Protein,Fish,Kg,6.9,,,,,0,—
Feb 2026,Meat and Protein,Eggs,Piece,120.0,8.64,1036.8,8.5,1020.0,13,Enver Ağa 10lu L Yumurta; Enver Ağa 15li L Yumurta; Enver Ağa 20li L Yumurta; Enver Ağa 30lu M Yumurta; Enver Ağa 6lı L Yumurta; İkizta Gezen Tavuk Yumurtası 10'lu; İkizta Gezen Tavuk Yumurtası 15'li; İkizta L- Büyük Boy Yumurta 10'lu; İkizta L- Büyük Boy Yumurta 15'li; İkizta L- Büyük Boy Yumurta 20'li; İkizta M Boy Yumurta 6'lı; İkizta M- Orta Boy Yumurta 30'lu; Yeşil Foça Gezen Tavuk Yumurtası 10'lu Large
Feb 2026,Legumes,Chickpeas,Kg,1.8,96.07,172.93,82.41,148.34,4,Ala Çiftçi Koçbaşı Nohut 1 kg; Burcu Haşlama Nohut 600 Gr; Yayla Beyaz Kabak Nohut 1 Kg; Yayla Koçbaşı Nohut 1 Kg
Feb 2026,Nuts and Seeds,Walnut / Hazelnut / Peanut,Kg,2.7,900.82,2432.21,790.0,2133.0,9,Dorleo Yer Fıstığı 175 Gr; Lüks Ceviz İçi - 250 Gr.; Master Nut Fındık İçi 130 gr; Master Nut Tuzlu Fındık İçi 140 gr; Peyman Bahçeden İç Ceviz 140 Gr; Peyman Bahçeden Kızartılmış Yer Fıstığı 150 G…; Peyman Bahçeden Tuzlu Kavrulmuş Fındık 140 Gr; Peyman Nuttz Tuzlu Yer Fıstığı 145 Gr; Peyman Nutzz Tacco Yer Fıstığı 145 Gr
Feb 2026,Grains,Bread,Kg,18.0,123.44,2221.92,75.0,1350.0,10,Ekmek 200 Gr; Kula Ekşi Maya Ekmek 800 Gr; La Lorraine Domates Fesleğenli Baget Ekmek; La Lorraine Kare Ekmek Rustik; La Lorraine Kepekli Baget Ekmek 1/3; La Lorraine Zeytin Kekikli Bağet Ekmek; Uno Denge Tam Buğdaylı ve Çiya Tohumlu Ekmek …; Uno Premium Çavdar ve Kara Buğdaylı Ekmek 350…; Uno Premium Çok Tahıllı ve Siyez Buğdaylı Ekm…; Untad Premium 12 Tahıllı Ekmek 480 gr
Feb 2026,Fruits,Banana,Kg,16.7,122.4,2044.08,122.4,2044.08,2,Muz İthal - 500 Gr.; Muz Yerli - 500 Gr.
