date,category,product,unit,monthly_qty,avg_unit_price_TRY,avg_monthly_cost_TRY,median_unit_price_TRY,median_monthly_cost_TRY,min_unit_price_TRY,min_monthly_cost_TRY,n_matched,matched_products
Feb 2026,Dairy Products,Yogurt,Kg,59.7,98.48,5879.26,79.9,4770.03,50.4,3008.88,31,Atmaca Yoğurt Yarım Yağlı 2500 g; Atmaca Yoğurt Yarım Yağlı 5000 g; Bayram Bidon Yoğurt 2500 g; Bayram Yoğurt 1000 g; Eker Efsane Yoğurt 750 Gr; Eker Yoğurt Kova Yarım Yağlı 2 kg; Kebir Yoğurt 1750 Gr Kova %3 Yağlı; Kebir Yoğurt Bidon 2500 Gr; Kebir Yoğurt Bidon Köy Tipi 1000 Gr; Kebir Yoğurt Bidon Köy Tipi 2000 Gr; Kebir Yoğurt Köy Tipi Bidon 5 Kg; Kebir Yoğurt Yarım Yağlı Kova 4 Kg; Pınar Doğal Yoğurt 500 g; Pınar Doğal Yoğurt 750 Gr; Pınar Yoğurt 1200 GR; Pınar Yoğurt 2000 gr %1 Yağlı; Sütaş Kaymaksız Yoğurt 1 kg; Sütaş Kaymaksız Yoğurt 1.5 kg; Sütaş Kaymaksız Yoğurt 2 kg; Sütaş Kaymaksız Yoğurt 3 kg; Sütaş Kaymaksız Yoğurt 500 g; Torku Doğal Yarım Yağlı Yoğurt 2000 g; Yeşil Mavi Yoğurt Bidon 2500 g; Yeşil Mavi Yoğurt Bidon 4950 g; Yeşil Mavi Yoğurt Kova 1000 g; Yeşil Mavi Yoğurt Kova 2000 g; İçim Doğal Yoğurt 1000 g; İçim Doğal Yoğurt 1200 g; İçim Doğal Yoğurt 2000 g; İçim Doğal Yoğurt 3000 g; İçim Doğal Yoğurt 500 g
Feb 2026,Dairy Products,White Cheese,Kg,5.7,350.28,1996.6,310.56,1770.19,215.62,1229.03,43,Aytaç Tam Yağlı Beyaz Peynir 800 g; Ayça Az Yağlı Beyaz Peynir 800 g; Damalı Beyaz Peynir 450 Gr Tam Yağlı Olgunlaş…; Damalı Beyaz Peynir Klasik Kg; Eker Klasik Peynir 500 gr Tam Yağlı; Ekici Beyaz Peynir Kg; Ekici Beyaz Peynir Klasik 450 Gr 3 Dilim; Ekici Beyaz Peynir Lokum Kıvamında 250 Gr; Ekici Beyaz Peynir Lokum Kıvamında 800 Gr; Ekici Beyaz Peynir Tam Yağlı 500 g; Gezici Beyaz Peynir Az Tuzlu Kg; Gezici Taze Peynir Kg; Kaanlar Trakya Beyaz Peynir 800 g; Kaanlar Çiftlik Taze Beyaz Peynir kg; Kebir Beyaz Peynir 800 Gr; Kebir Beyaz Peynir Pls 500 Gr; Muratbey Sürmeli Beyaz Peynir Tam Yağlı 400 G…; Ova Beyaz Peynir 400 Gr; Ova Beyaz Peynir 700 Gr Pls; Ova Beyaz Peynir Kg; Ova Beyaz Peynir Tnk 1800 Gr; Peysan Edirne Klasik Beyaz Peynir Tam Yağlı 3…; Pınar Beyaz Peynir 180 Gr; Pınar Beyaz Peynir 400 Gr; Pınar Beyaz Peynir Salamura 800 Gr; Pınar Taze Peynir 180Gr Kahvaltı Keyfi; Sütaş Beyaz Peynir 250 g; Sütaş Light Plus Beyaz Peynir 500 g; Sütaş Plus Beyaz Peynir 500 g; Sütaş Plus Beyaz Peynir 900 g; Sütaş Süzme Beyaz Peynir 250 g; Sütaş Süzme Beyaz Peynir 500 g; Sütaş Süzme Beyaz Peynir 900 g; Tahsildaroğlu Klasik İnek Beyaz Peynir 450 Gr; Teksüt Beyaz Peynir 900 Gr; Torku Beyaz Peynir 900 g; Yardımcı Beyaz Peynir Kg; İçim Beyaz Peynir 500 g; İçim Plus Beyaz Peynir 900 g; İçim Süzme Beyaz Peynir 500 g; İçim Süzme Beyaz Peynir 750 g; İçim Süzme Beyaz Peynir 900 g; İçim Tam Yağlı Süzme Beyaz Peynir 250 g
Feb 2026,Meat and Protein,Cubed Meat / Lamb Meat,Kg,4.6,890.0,4094.0,890.0,4094.0,850.0,3910.0,2,Dana Kuşbaşı  Kg; Yağsız Kuşbaşı Kg
Feb 2026,Meat and Protein,Chicken,Kg,10.3,229.04,2359.11,214.95,2213.99,53.85,554.66,8,Gedik Tabaklı Piliç Bonfile Kg; Şenpiliç Kalçalı But kg; Şenpiliç Pirzola Kg; Şenpiliç Poşet Piliç İri Kg 1950 gr Üstü; Şenpiliç Tabaklı Bonfile Kg; Erpiliç Schnitzel 700 Gr; Gedik Donuk Piliç Kova 750 Gr; Pınar Piliç Schnitzel 415 Gr
Feb 2026,Meat and Protein,Fish,Kg,6.9,200.0,1380.0,250.0,1725.0,100.0,690.0,3,Alabalık Kg; Hamsi Kg; Somon Kg
Feb 2026,Meat and Protein,Eggs,Piece,120.0,6.52,782.4,6.23,747.6,4.66,559.2,10,Bem Gezen Tavuk Yumurtası 15 li; Hapeloğlu Yumurta 30'lu  (M tipi); Kaçkar Yumurta 15 li; Özkan Yumurta  Açık Alanda Gezen Tavuk Yumurt…; Ümit Yumurta Duble Beyaz Kapaklı 15'Li L-Boy; Ümit Yumurta Duble Sarı 30'Lu L Boy; Ümit Yumurta Duble Sarı Kapaklı 15'Li L-Boy; Ümit Yumurta Jumbo Beyaz 30'Lu XL Boy; Ümit Yumurta Sarı 30'Lu M; Ümit Yumurta Serbest Gezen Tavuk Yumurtası 15…
Feb 2026,Legumes,Chickpeas,Kg,1.8,141.72,255.1,126.5,227.7,107.5,193.5,9,Leblebi Beyaz Nohut Kg; Doğal Beyaz Nohut 1 Kg; Doğal Nohut 1 Kg Koçbaşı; Duru Irı Nohut 1 Kg; Duru Koçbaşı Nohut 1 Kg; Nohut İspanyol Kg; Tat Bakliyat Beyaz Nohut 1000 g; Tat Bakliyat Nohut 1 Kg Koçbaşı; Tat Bakliyat Nohut Koçbaşı 2000 Gr
Feb 2026,Nuts and Seeds,Walnut / Hazelnut / Peanut,Kg,2.7,938.77,2534.68,1100.0,2970.0,165.0,445.5,9,Ceviz İçi Kg; Kavrulmuş Fındık Kg; Tadım Ceviz İçi 150 g; Tadım Ceviz İçi 70 g; Tadım Fındık İçi 90 g; Tadım Fındık İçi Kavrulmuş 180 g; Tadım Kavrulmuş Yer Fıstığı 180 g; Tadım İşlenmiş Yer Fıstığı 90 g; Tuzlu İç Fıstık Kg
Feb 2026,Grains,Bread,Kg,18.0,158.91,2860.38,181.82,3272.76,72.0,1296.0,4,Ekmek 250 g; Uno Fırından Tam Çavdarlı Ekmek 450 g; Uno Premium Çavdarlı ve Karabuğdaylı Ekmek 40…; Uno Premium Çok Tahıllı ve Siyez Buğdaylı Ekm…
Feb 2026,Fruits,Banana,Kg,16.7,109.9,1835.33,109.9,1835.33,84.9,1417.83,2,Muz Kg; Muz Yerli Kg
