date,category,product,unit,monthly_qty,avg_unit_price_TRY,monthly_cost_TRY,n_matched,matched_products
Mar-01 2026,Dairy Products,Yogurt,Kg,59.7,136.49,8148.45,26,"Sütaş Kaymaksız Yoğurt 1 kg; Kebir Bidon Köy Tipi Yoğurt 1 kg; Sütaş Kaymaksız Yoğurt 2 kg; Pınar Yarım Yağlı Yoğurt 2000 gr; Kebir Köy Tipi Yoğurt 2 kg; Sütaş Kaymaksız Yoğurt 1,5 kg; İçim Yoğurt 2 kg; İçim Doğal Yoğurt 500 gr; Kebir Köy Tipi Yoğurt 2,5 kg; Yeşil Mavi Bidon Yoğurt 1 Kg; Sütaş Yoğurt Kaymaksız 3 Kg; Kebir Köy Tipi Yoğurt 5 kg; İçim Yarım Yağlı Yoğurt 3 kg; Bayram Yoğurt 2,5 kg; Kebir Yağlı Yoğurt 4 kg; Yeşil Mavi Yoğurt Bidon 2,5 kg; Yeşil Mavi Kova Yoğurt 2 kg; Mevlana Bey Çiftliği Yarım Yağlı Yoğurt 2,5 K…; YEŞİL MAVİ YOĞURT 1.000GR KOVA; PINAR YOĞURT 1200 GR; Kebir Kova Yoğurt 1,750 Gr; Sütaş Kaymaksız Yoğurt 500 gr; SÜTAŞ SUZME YOĞURT 750GR; TORKU Y.YOĞURT 2.000 GR; Eker Yoğurt 2 Kg Kova; Eker Efsane Yoğurt 750 Gr; Pınar Yoğurt 500 Gr; Torku Yoğurt 900 gr; Pınar Yoğurt 750 gr"
Mar-01 2026,Dairy Products,White Cheese,Kg,5.3,367.19,1946.11,39,Ayca Az Yağlı Beyaz Peynir 800 gr; Kaanlar Beyaz Peynir Trakya 800 gr; Torku Tam Yağlı Beyaz Peynir 900 gr; İçim Beyaz Peynir 900 gr; Ekici Tam Yağlı Beyaz Peynir 500 gr; Beyaz Peynir Naturel Ekici; Beyaz Peynir Ezine Habir Kg; Sütaş Beyaz Peynir 900 gr; Beyaz Peynir Naturel Gündoğdu Ezine kg; Sütaş Beyaz Peynir500 gr; Beyaz Peynir Ekici Tam Yağlı Kg; Ekici Tam Yağlı Beyaz Peynir 800 gr; Beyaz Peynir Ova Tam Yağlı Kg; İçim Beyaz Peynir 500 gr; Ova Beyaz Peynir Teneke 1 kg; Beyaz Peynir Naturel Edirne Yardımcı kg; Kebir Beyaz Peynir 800 gr; Burgu/Topi/Halka Beyaz Peynir Kg; Kebir Beyaz Peynir 500 gr; Sütaş Beyaz Peynir 250 gr; Cebeci Tam Yağlı Beyaz Peynir 900 gr; Muratbey Sürmeli Beyaz Peynir 700 gr; TekSüt Yumuşak Tam Yağlı Beyaz Peynir 750 gr; Pınar Kahvaltı Keyfi Beyaz Peynir 800 gr; Pınar Beyaz Peynir 800 gr Salamura; OVA BEYAZ PEYNIR 700 GR PLS; Torku Tam Yağlı Beyaz Peynir 500 gr; Sütaş Light Beyaz Peynir 500 gr; Pınar Tam Yağlı Beyaz Peynir 180 gr; Ekici Klasik Beyaz Peynir 450 Gr; Kaanlar Beyaz Peynir Kahvaltılık 1 Kg Pt; Ova Beyaz Peynir 400 Gr; Pınar Taze Beyaz Peynir 180 Gr; Beyaz Peynir Van Kg; Beyaz Peynir Gezici Mega Köy Peyniri Kg; Kaanlar Çiftlik Beyaz Peynir 800 Gr; TekSüt Tam Yağlı Beyaz Peynir 900 Gr; Beyaz Peynir Habir Keçi İnek Peyniri Kg; Sütaş Klasik Beyaz Peynir 500 Gr
Mar-01 2026,Meat and Protein,Cubed Meat / Lamb Meat,Kg,3.3,943.33,3112.99,3,Dana Kuşbaşı Kg; Kuzu Kuşbaşı Kg; Dana Yağsız Kuşbaşı Kg
Mar-01 2026,Meat and Protein,Chicken,Kg,7.0,169.33,1185.31,3,Gedik Tavuk Baget Kg; Gedik Bütün Poşet Tavuk Kg; Gedik Tavuk Kanat Kg
Mar-01 2026,Meat and Protein,Fish,Kg,5.1,,,0,N/A
Mar-01 2026,Meat and Protein,Eggs,Piece,60.0,7.28,436.8,11,YUMURTA Ümit 30 lu Sarı; YUMURTA Köy Kaçkar 15 li; Yumurta Kopuz 30 lu Beyaz; YUMURTA Ümit 15 li Sarı L; YUMURTA Özkan 15 li; YUMURTA KÖY ÖZKAN (GUNLUK) 10LU KOLI; YUMURTA Köy (Günlük) Adet; YUMURTA Ümit 15 li Beyaz; Yumurta Kopuz 15 Li Beyaz; Yumurta Ümit Gezen Tavuk 15 Adet; YUMURTA Yeşilküre Organik 10 lu
Mar-01 2026,Legumes,Chickpeas,Kg,5.6,145.0,812.0,4,Duru Bakliyat Koçbaşı Nohut 1 kg; Kale Bakliyat Nohut Kg; Sadıkoğlu Nohut (Kabak) 1 kg; Sadıkoğlu Nohut Koçbaşı (9 mm) 1kg
Mar-01 2026,Nuts and Seeds,Walnut / Hazelnut / Peanut,Kg,2.7,947.5,2558.25,2,Ceviz İçi Kg; Fındık İçi Kg
Mar-01 2026,Grains,Bread,Kg,18.0,137.27,2470.86,4,Kale Ekmek 240 gr; Kale Çavdar Ekmek; Kale Tam Buğday Ekmek 270 gr; Kale Kepek Ekmek; Kale Baget Ekmek; Uno Fırından Tam Çavdarlı Ekmek 450 gr; Kale Tam Buğday Ekmek; Uno Fırından Tam Buğdaylı Ekmek 450 gr
Mar-01 2026,Fruits,Banana,Kg,16.7,109.45,1827.82,2,Muz İthal Kg; Muz Yerli Kg
