date,category,product,unit,monthly_qty,avg_unit_price_TRY,avg_monthly_cost_TRY,median_unit_price_TRY,median_monthly_cost_TRY,n_matched,matched_products
Feb 2026,Dairy Products,Yogurt,Kg,59.7,,,,,0,—
Feb 2026,Dairy Products,White Cheese,Kg,5.7,,,,,0,—
Feb 2026,Meat and Protein,Cubed Meat / Lamb Meat,Kg,4.6,,,,,0,—
Feb 2026,Meat and Protein,Chicken,Kg,10.3,,,,,0,—
Feb 2026,Meat and Protein,Fish,Kg,6.9,,,,,0,—
Feb 2026,Meat and Protein,Eggs,Piece,120.0,,,,,0,—
Feb 2026,Legumes,Chickpeas,Kg,1.8,186.24,335.23,175.38,315.68,4,Damla İspanyol Nohut 1 Kg; Damla Koçbaşı Nohut 1 Kg; Damla Koçbaşı Nohut 2 Kg; Damla Koçbaşı Nohut 9 Mm 5 Kg
Feb 2026,Nuts and Seeds,Walnut / Hazelnut / Peanut,Kg,2.7,,,,,0,—
Feb 2026,Grains,Bread,Kg,18.0,,,,,0,—
Feb 2026,Fruits,Banana,Kg,16.7,,,,,0,—
Feb 2026,Fruits,Seasonal Fruit,Kg,12.9,,,,,0,—
Feb 2026,Vegetables,Onion,Kg,18.0,,,,,0,—
Feb 2026,Vegetables,Eggplant / Zucchini,Kg,23.1,,,,,0,—
Feb 2026,Vegetables,Other Vegetables,Kg,11.8,,,,,0,—
