month,category,product,monthly_qty,avg_unit_price_TRY,monthly_cost_TRY,n_markets,market_list
Apr 2026,Dairy Products,White Cheese,5.3,479.84,2543.18,9,"A101, Arden, Basdas, CarrefourSA, Hapeloglu, Kale, Kim, Macrocenter, Migros"
Apr 2026,Dairy Products,Yogurt,59.7,113.77,6792.0,9,"A101, Arden, Basdas, CarrefourSA, Hapeloglu, Kale, Kim, Macrocenter, Migros"
Apr 2026,Fruits,Banana,16.7,135.8,2267.82,8,"A101, Arden, CarrefourSA, Hapeloglu, Kale, Kim, Macrocenter, Migros"
Apr 2026,Fruits,Seasonal Fruit,12.9,177.41,2288.62,9,"A101, Arden, Basdas, CarrefourSA, Hapeloglu, Kale, Kim, Macrocenter, Migros"
Apr 2026,Grains,Bread,18.0,169.46,3050.3,8,"A101, Arden, Baskent, CarrefourSA, Hapeloglu, Kale, Kim, Macrocenter"
Apr 2026,Legumes,Chickpeas,5.6,143.6,804.14,9,"A101, Arden, CarrefourSA, Hapeloglu, Kale, Kim, Macrocenter, Marketzade, Migros"
Apr 2026,Meat and Protein,Chicken,7.0,257.83,1804.78,9,"A101, Arden, Basdas, CarrefourSA, Hapeloglu, Kale, Kim, Macrocenter, Migros"
Apr 2026,Meat and Protein,Cubed Meat / Lamb Meat,3.3,1012.72,3341.98,9,"A101, Arden, Basdas, CarrefourSA, Hapeloglu, Kale, Kim, Macrocenter, Migros"
Apr 2026,Meat and Protein,Eggs,60.0,10.34,620.43,9,"A101, Arden, Basdas, CarrefourSA, Hapeloglu, Kale, Kim, Macrocenter, Migros"
Apr 2026,Meat and Protein,Fish,5.1,678.5,3460.34,4,"A101, CarrefourSA, Macrocenter, Migros"
Apr 2026,Nuts and Seeds,Walnut / Hazelnut / Peanut,2.7,746.01,2014.23,8,"A101, Arden, CarrefourSA, Hapeloglu, Kale, Kim, Macrocenter, Migros"
Apr 2026,Oils,Olive Oil,1.0,549.66,549.66,9,"A101, Arden, CarrefourSA, Hapeloglu, Kale, Kim, Macrocenter, Marketzade, Migros"
Apr 2026,Vegetables,Eggplant / Zucchini,34.7,73.9,2564.25,9,"A101, Arden, Basdas, CarrefourSA, Hapeloglu, Kale, Kim, Macrocenter, Migros"
Apr 2026,Vegetables,Onion,18.0,38.38,690.76,9,"A101, Arden, Basdas, CarrefourSA, Hapeloglu, Kale, Kim, Macrocenter, Migros"
Apr 2026,Vegetables,Other Vegetables,14.8,156.75,2319.97,9,"A101, Arden, Basdas, CarrefourSA, Hapeloglu, Kale, Kim, Macrocenter, Migros"
Feb 2026,Dairy Products,White Cheese,5.3,462.8,2452.82,9,"A101, Basdas, CarrefourSA, Gurmar, Hapeloglu, Kim, Macrocenter, Migros, Sozsanal"
Feb 2026,Dairy Products,Yogurt,59.7,105.94,6324.88,9,"A101, Basdas, CarrefourSA, Gurmar, Hapeloglu, Kim, Macrocenter, Migros, Sozsanal"
Feb 2026,Fruits,Banana,16.7,121.99,2037.23,8,"A101, Basdas, CarrefourSA, Gurmar, Hapeloglu, Macrocenter, Migros, Sozsanal"
Feb 2026,Fruits,Seasonal Fruit,12.9,166.21,2144.05,9,"A101, Basdas, CarrefourSA, Gurmar, Hapeloglu, Kim, Macrocenter, Migros, Sozsanal"
Feb 2026,Grains,Bread,18.0,155.02,2790.28,7,"A101, Baskent, CarrefourSA, Gurmar, Hapeloglu, Kim, Macrocenter"
Feb 2026,Legumes,Chickpeas,5.6,136.91,766.68,10,"A101, Baskent, CarrefourSA, Gurmar, Hapeloglu, Kim, Macrocenter, Marketzade, Migros, Sozsanal"
Feb 2026,Meat and Protein,Chicken,7.0,215.0,1504.99,9,"A101, Basdas, CarrefourSA, Gurmar, Hapeloglu, Kim, Macrocenter, Migros, Sozsanal"
Feb 2026,Meat and Protein,Cubed Meat / Lamb Meat,3.3,1005.12,3316.9,7,"Basdas, CarrefourSA, Gurmar, Hapeloglu, Kim, Macrocenter, Migros"
Feb 2026,Meat and Protein,Eggs,60.0,10.82,649.13,9,"A101, Basdas, CarrefourSA, Gurmar, Hapeloglu, Kim, Macrocenter, Migros, Sozsanal"
Feb 2026,Meat and Protein,Fish,5.1,618.47,3154.18,5,"A101, CarrefourSA, Hapeloglu, Macrocenter, Migros"
Feb 2026,Nuts and Seeds,Walnut / Hazelnut / Peanut,2.7,695.43,1877.67,7,"A101, CarrefourSA, Gurmar, Hapeloglu, Kim, Macrocenter, Migros"
Feb 2026,Oils,Olive Oil,1.0,491.22,491.22,9,"A101, CarrefourSA, Gurmar, Hapeloglu, Kim, Macrocenter, Marketzade, Migros, Sozsanal"
Feb 2026,Vegetables,Eggplant / Zucchini,34.7,143.98,4996.26,8,"A101, Basdas, CarrefourSA, Gurmar, Hapeloglu, Kim, Macrocenter, Migros"
Feb 2026,Vegetables,Onion,18.0,42.58,766.37,8,"A101, Basdas, CarrefourSA, Gurmar, Hapeloglu, Kim, Macrocenter, Migros"
Feb 2026,Vegetables,Other Vegetables,14.8,168.23,2489.74,8,"A101, Basdas, CarrefourSA, Gurmar, Hapeloglu, Kim, Macrocenter, Migros"
Mar 2026,Dairy Products,White Cheese,5.3,467.39,2477.15,11,"A101, Arden, Basdas, CarrefourSA, Gurmar, Hapeloglu, Kale, Kim, Macrocenter, Migros, Sozsanal"
Mar 2026,Dairy Products,Yogurt,59.7,110.1,6572.83,11,"A101, Arden, Basdas, CarrefourSA, Gurmar, Hapeloglu, Kale, Kim, Macrocenter, Migros, Sozsanal"
Mar 2026,Fruits,Banana,16.7,131.33,2193.27,10,"A101, Arden, Basdas, CarrefourSA, Gurmar, Hapeloglu, Kale, Macrocenter, Migros, Sozsanal"
Mar 2026,Fruits,Seasonal Fruit,12.9,167.25,2157.56,11,"A101, Arden, Basdas, CarrefourSA, Gurmar, Hapeloglu, Kale, Kim, Macrocenter, Migros, Sozsanal"
Mar 2026,Grains,Bread,18.0,157.05,2826.9,9,"A101, Arden, Baskent, CarrefourSA, Gurmar, Hapeloglu, Kale, Kim, Macrocenter"
Mar 2026,Legumes,Chickpeas,5.6,148.23,830.1,11,"A101, Arden, CarrefourSA, Gurmar, Hapeloglu, Kale, Kim, Macrocenter, Marketzade, Migros, Sozsanal"
Mar 2026,Meat and Protein,Chicken,7.0,246.4,1724.76,11,"A101, Arden, Basdas, CarrefourSA, Gurmar, Hapeloglu, Kale, Kim, Macrocenter, Migros, Sozsanal"
Mar 2026,Meat and Protein,Cubed Meat / Lamb Meat,3.3,1036.78,3421.36,10,"A101, Arden, Basdas, CarrefourSA, Gurmar, Hapeloglu, Kale, Kim, Macrocenter, Migros"
Mar 2026,Meat and Protein,Eggs,60.0,9.69,581.51,11,"A101, Arden, Basdas, CarrefourSA, Gurmar, Hapeloglu, Kale, Kim, Macrocenter, Migros, Sozsanal"
Mar 2026,Meat and Protein,Fish,5.1,566.39,2888.58,5,"A101, CarrefourSA, Hapeloglu, Macrocenter, Migros"
Mar 2026,Nuts and Seeds,Walnut / Hazelnut / Peanut,2.7,853.39,2304.15,8,"A101, Arden, CarrefourSA, Hapeloglu, Kale, Kim, Macrocenter, Migros"
Mar 2026,Oils,Olive Oil,1.0,477.95,477.95,11,"A101, Arden, CarrefourSA, Gurmar, Hapeloglu, Kale, Kim, Macrocenter, Marketzade, Migros, Sozsanal"
Mar 2026,Vegetables,Eggplant / Zucchini,34.7,142.99,4961.61,10,"A101, Arden, Basdas, CarrefourSA, Gurmar, Hapeloglu, Kale, Kim, Macrocenter, Migros"
Mar 2026,Vegetables,Onion,18.0,43.5,783.04,10,"A101, Arden, Basdas, CarrefourSA, Gurmar, Hapeloglu, Kale, Kim, Macrocenter, Migros"
Mar 2026,Vegetables,Other Vegetables,14.8,147.43,2182.03,10,"A101, Arden, Basdas, CarrefourSA, Gurmar, Hapeloglu, Kale, Kim, Macrocenter, Migros"
