Location,Rooms,Daily Inflation(%)
Aksu,1+1,-1.281416797889535
Aksu,1.5+1,0.0
Aksu,2+1,-0.15348965361791328
Aksu,3+1,-4.385206851470235
Aksu,4+1,0.0
Aksu,5+1,0.5767012687427979
Aksu,7+1,0.0
Aksu,Stüdyo (1+0),0.0
Aksu/Köyler,1+1,-1.8518518518518434
Aksu/Köyler,2+1,0.7667391036943046
Aksu/Köyler,3+1,2.664307381193132
Aksu/Köyler,4+1,5.737704918032787
Aksu/Köyler,4+2,0.0
Aksu/Köyler,6+1,0.0
Aksu/Köyler,6+2,0.0
Aksu/Pınarlı,1+1,0.0
Aksu/Çalkaya,2+1,0.0
Aksu/Çalkaya,3+1,-31.818181818181817
Alanya,1+1,-1.6074209660035637
Alanya,2+0,0.0
Alanya,2+1,-1.7909207598525454
Alanya,3+1,-2.9238021361656377
Alanya,3+2,81.81818181818183
Alanya,3.5+1,0.0
Alanya,4+1,-0.5360659092844803
Alanya,4+2,69.64285714285714
Alanya,4.5+2,0.0
Alanya,5+1,9.609609609609604
Alanya,6+1,0.0
Alanya,6+2,0.0
Alanya,Stüdyo (1+0),0.0
Alanya/Beldeler,1+1,0.09232129717256739
Alanya/Beldeler,2+1,0.855958727147093
Alanya/Beldeler,2.5+1,-37.5
Alanya/Beldeler,3+1,-2.910266774454331
Alanya/Beldeler,3+2,0.0
Alanya/Beldeler,3.5+1,0.0
Alanya/Beldeler,4+1,-5.734758199546931
Alanya/Beldeler,4.5+1,0.0
Alanya/Beldeler,5+1,13.636363636363635
Alanya/Beldeler,Stüdyo (1+0),-7.79116465863454
Alanya/Demirtaş,1+1,9.322033898305078
Alanya/Köyler,1+1,0.0
Alanya/Köyler,1.5+1,0.0
Alanya/Köyler,2+1,0.0
Alanya/Köyler,3+1,-2.7777777777777777
Alanya/İncekum (Yeşilköy),1+1,0.0
Alanya/İncekum (Yeşilköy),2+1,10.204081632653061
Alanya/İncekum (Yeşilköy),3+1,0.0
Alanya/İncekum (Yeşilköy),4+1,-1.5625
Demre/Kale(Demre),1+1,38.41269841269842
Demre/Kale(Demre),2+0,38.559322033898304
Demre/Kale(Demre),2+1,11.828320378506252
Demre/Kale(Demre),3+0,0.0
Demre/Kale(Demre),3+1,0.0
Demre/Kale(Demre),4+1,0.0
Demre/Kale(Demre),4+2,0.0
Demre/Kale(Demre),5+1,0.0
Demre/Kale(Demre),5+2,0.0
Demre/Kale(Demre),6+3,0.0
Demre/Köyler,1+1,-10.0
Demre/Köyler,2+1,0.0
Döşemealtı/Düzlerçamı,5+1,0.0
Döşemealtı/Köyler,0,0.0
Döşemealtı/Köyler,2+1,0.0
Döşemealtı/Köyler,3+1,14.95327102803739
Döşemealtı/Merkez,1,0.0
Döşemealtı/Merkez,1+1,1.2489143651207208
Döşemealtı/Merkez,2+0,0.0
Döşemealtı/Merkez,2+1,-2.610354486622233
Döşemealtı/Merkez,3+1,14.392620953706928
Döşemealtı/Merkez,4+1,6.259426847662139
Döşemealtı/Merkez,5+1,-4.926108374384237
Döşemealtı/Merkez,5+2,0.0
Döşemealtı/Merkez,6+1,-61.111111111111114
Döşemealtı/Merkez,7+1,0.0
Döşemealtı/Merkez,8+1,0.0
Döşemealtı/Yeniköy,1+1,-2.4437007301144282
Döşemealtı/Yeniköy,2+0,8.333333333333332
Döşemealtı/Yeniköy,2+1,-3.426617424517059
Döşemealtı/Yeniköy,3+1,-4.831178160919543
Döşemealtı/Yeniköy,4+1,10.089463220675944
Döşemealtı/Yeniköy,5+1,0.0
Döşemealtı/Yeniköy,Stüdyo (1+0),0.0
Döşemealtı/Yeşilbayır,1+1,-7.862679955703218
