Location,Rooms,Weekly Inflation(%)
Aksu,1+1,0.7289473360176277
Aksu,1.5+1,0.0
Aksu,2+1,0.6354991729895144
Aksu,3+1,5.868578601776746
Aksu,4+1,-6.216216216216217
Aksu,5+1,-24.541284403669728
Aksu,7+1,0.0
Aksu,Stüdyo (1+0),10.0
Aksu/Köyler,1+1,2.1257861635220068
Aksu/Köyler,2+1,0.6315104166666643
Aksu/Köyler,3+1,-11.203033436745944
Aksu/Köyler,4+1,-8.13953488372093
Aksu/Köyler,4+2,0.0
Aksu/Köyler,6+1,-15.789473684210526
Aksu/Köyler,6+2,0.0
Aksu/Pınarlı,1+1,0.0
Aksu/Çalkaya,1+1,37.93103448275862
Aksu/Çalkaya,2+1,-5.555555555555555
Aksu/Çalkaya,3+1,46.666666666666664
Alanya,1+1,-0.29079502114179223
Alanya,2+0,0.0
Alanya,2+1,1.680167414960905
Alanya,3+1,1.0049787940254522
Alanya,3+2,0.0
Alanya,3.5+1,20.0
Alanya,4+1,5.173701639884358
Alanya,4+2,0.0
Alanya,4.5+2,-16.666666666666664
Alanya,5+1,3.326810176125243
Alanya,6+1,-18.996415770609314
Alanya,6+2,0.0
Alanya,Stüdyo (1+0),1.5625
Alanya/Beldeler,1+1,-0.21340300377773683
Alanya/Beldeler,2+1,-3.028384636471319
Alanya/Beldeler,2.5+1,0.0
Alanya/Beldeler,3+1,-2.5076002556009493
Alanya/Beldeler,3+2,0.0
Alanya/Beldeler,3.5+1,0.0
Alanya/Beldeler,4+1,-3.3049917718047226
Alanya/Beldeler,4.5+1,0.0
Alanya/Beldeler,5+1,11.111111111111105
Alanya/Beldeler,Stüdyo (1+0),4.877032520325196
Alanya/Demirtaş,1+1,0.0
Alanya/Köyler,1+1,-3.225806451612903
Alanya/Köyler,1.5+1,5.0
Alanya/Köyler,2+1,-22.222222222222218
Alanya/Köyler,3+1,-39.885714285714286
Alanya/İncekum (Yeşilköy),1+1,0.0
Alanya/İncekum (Yeşilköy),2+1,-3.7037037037037033
Alanya/İncekum (Yeşilköy),3+1,-10.099009900990099
Alanya/İncekum (Yeşilköy),4+1,-3.7037037037037077
Demre/Kale(Demre),1+1,-42.6605504587156
Demre/Kale(Demre),2+0,83.4862385321101
Demre/Kale(Demre),2+1,-2.320271313924984
Demre/Kale(Demre),2.5+1,0.0
Demre/Kale(Demre),3+0,-39.473684210526315
Demre/Kale(Demre),3+1,-0.5698005698005646
Demre/Kale(Demre),4+1,0.0
Demre/Kale(Demre),5+1,0.0
Demre/Kale(Demre),5+2,0.0
Demre/Kale(Demre),6+3,0.0
Demre/Köyler,1+1,11.11111111111111
Demre/Köyler,2+1,0.0
Döşemealtı/Düzlerçamı,5+1,30.909090909090907
Döşemealtı/Köyler,0,0.0
Döşemealtı/Köyler,2+1,-53.333333333333336
Döşemealtı/Köyler,3+1,-13.00813008130082
Döşemealtı/Merkez,1,0.0
Döşemealtı/Merkez,1+1,-0.16145603992366336
Döşemealtı/Merkez,2+0,0.0
Döşemealtı/Merkez,2+1,-0.6610299769408259
Döşemealtı/Merkez,3+1,-2.6437699680511195
Döşemealtı/Merkez,4+1,6.5915542938254035
Döşemealtı/Merkez,5+1,1.271785209609037
Döşemealtı/Merkez,5+2,0.0
Döşemealtı/Merkez,6+1,214.28571428571428
Döşemealtı/Merkez,7+1,0.0
Döşemealtı/Merkez,8+1,0.0
Döşemealtı/Yeniköy,1+1,1.7377963847243452
Döşemealtı/Yeniköy,2+0,-9.615384615384617
Döşemealtı/Yeniköy,2+1,2.19171327323995
Döşemealtı/Yeniköy,3+1,1.6299156589777444
Döşemealtı/Yeniköy,4+1,-13.57626572073525
Döşemealtı/Yeniköy,5+1,-17.22488038277512
Döşemealtı/Yeniköy,Stüdyo (1+0),0.0
Döşemealtı/Yeşilbayır,1+1,6.410256410256422
Döşemealtı/Yeşilbayır,2+1,-13.397435897435894
Döşemealtı/Yeşilbayır,3+1,-0.607533414337786
Döşemealtı/Yeşilbayır,3.5+1,0.0
Döşemealtı/Yeşilbayır,4+1,-3.376189512046974
Döşemealtı/Yeşilbayır,5+1,-21.892655367231633
Döşemealtı/Yeşilbayır,6+1,0.0
Döşemealtı/Yeşilbayır,7+1,6.896551724137931
Döşemealtı/Yeşilbayır,8+2,0.0
Döşemealtı/Yeşilbayır,Stüdyo (1+0),8.695652173913043
Elmalı,2+1,3.5087719298245674
Elmalı,3+1,4.51127819548873
Elmalı,Stüdyo (1+0),0.0
Finike,1+1,-3.2854799015586598
Finike,2+0,0.0
Finike,2+1,-1.4096080910240076
Finike,3+1,14.457831325301203
