Title,Weekly Inflation(%)
34 GSM IPHONE USB SARJ KABLOSU,0.0
34 GSM MICRO USB SARJ KABLOSU,0.0
"34 GSM TYPE-C USB SARJ KABLOSU 39,99TL",0.0
7 DAYS KAKAOLU KRUVASAN 72 GR,0.0
A4 FOTOKOPI KAGIDI 500 LU 80 GR,0.0
ACE C.SUYU 1000 GR NORMAL,0.0
ACE C.SUYU 2000 GR NORMAL,0.0
ACE C.SUYU 4000 GR NORMAL,0.0
ACE POWER JEL 810 GR DAG TAZELIGI.,0.0
ACE POWER JEL 810 GR OKALIPTUS.,0.0
ACE ULTRA KOPUK 700ML CAMASIR SULU GENEL KULLANIM,0.0
ACTIVIA 4*100 GR ORMAN MEYVELI,11.1123458162018
ACTIVIA SHOT VIT.K.MURVER&Y.MERSINI 80 ML,0.0
ACTIVIA SHOT VIT.NAR&CILEK 80 ML,0.0
ACTIVIA YOGURT PROBIYOTIKLI VE TAHIL GEVREKLI 183G,0.0
AIRWICK AEROSOL 300 ML LAVANTA ESINTISI,0.0
AIRWICK AEROSOL 300 ML MANOLYA VE KIRAZ ÇİÇ.,0.0
AIRWICK YEDEK 250 ML BAHAR CICEKLERI,0.0
AIRWICK YEDEK 250 ML LAVANTA,0.0
AIRWICK YEDEK 250 ML TEMIZLIK ESINTISI,0.0
AKMAN ACI TOZ BIBER 60 GR,0.0
AKMAN COREKOTU 60 GR,0.0
AKMAN DOLMA BAHARI 40 GR,0.0
AKMAN DOLMA FISTIK 23 GR,0.0
AKMAN FESLEGEN 20 GR,0.0
AKMAN GALETA UNU 250 GR,0.0
AKMAN HINDISTAN CEVIZI 40 GR,0.0
AKMAN ISOT 60 GR,0.0
AKMAN KARABIBER 150 GR,0.0
AKMAN KARABIBER TANE 40 GR,0.0
AKMAN KARABIBER TOZ 45 GR,0.0
AKMAN KARANFIL 15 GR,0.0
AKMAN KARBONAT 100 GR,0.0
AKMAN KEKIK 20 GR,0.0
AKMAN KIMYON 60 GR,0.0
AKMAN KOFTE HARCI 90 GR,0.0
AKMAN KORI 40 GR,0.0
AKMAN KUS UZUMU 40 GR,0.0
AKMAN LIMON TUZU 60 GR,0.0
AKMAN MISIR UNU 250 GR,0.0
AKMAN NANE 25 GR,0.0
AKMAN NANE 85 GR,0.0
AKMAN PUL BIBER 200 GR,0.0
AKMAN PULBIBER 60 GR,0.0
AKMAN SARIMSAK TOZU 40 GR,0.0
AKMAN SUMAK 60 GR,0.0
AKMAN TARCIN 50 GR,0.0
AKMAN TATLI TOZ BIBER 60 GR,0.0
AKMAN YEDI TURLU BAHARAT 50 GR,0.0
AKMAN ZENCEFIL 40 GR,0.0
AKMAN ZERDECAL 40 GR,0.0
AKTURK 475 GR GOFRET,0.0
ALGİDA CARTEDOR SELECTİON 800 ML ÇİKOLATA KARNAVAL,0.0
ALGİDA KAKAO VANİLYA 750ML,0.0
ALPRO BADEM SUTU 1 LT,33.33518528807156
