Weekly Inflation(%),Date
3.846941747281088,3-4
3.908737263903671,3-5
1.9964621752649172,3-6
0.26608796900966,3-7
-1.7962039406958328,3-8
-1.7945044683990616,3-9
-1.6713474475174162,3-10
-0.7629652775768455,3-11
-0.8824197150038595,3-12
1.565671154729751,3-13
-0.5576165828171389,3-14
-0.57419579640938,3-15
-0.570967063833145,3-16
-0.45222764118618314,3-17
-1.9857099855660159,3-18
-1.852139508519484,3-19
-1.7497874197729844,3-20
0.14055895726421586,3-21
0.11826732123011262,3-22
0.18934768707078192,3-23
0.3777333749312861,3-24
2.9878191097745135,3-25
2.9662430286796733,3-26
2.874698637055379,3-27
3.105139747114667,3-28
3.100443356166451,3-29
3.0757248811321025,3-30
