item_name,price,tarih,kategori,para_birimi,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Burcu Zeytinyağlı Enginar 200 Gr,74.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,,
Superfresh Klasik Ayçiçek Yağlı Ton Balığı 4*75 Gr,241.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Yayla Haşlanmış Garnitur 560 gr,111.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Burcu Zeytinyağlı Yaprak Sarma 200 gr,135.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Tam Buğday Unu 5 Kg,375.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Komili Yemeklik Riviera Zeytinyağı 5 lt x 4 Adet,6465.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,-3.218562874251497,-3.218562874251497
Komili Yemeklik Riviera Zeytinyağı 5 lt x 1 Adet,1940.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.5181347150259068,0.5181347150259068
Basmati Pirinç 10 Kg,1375.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,14.107883817427386
Basmati Pirinç 25 Kg (Çuval),3165.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,14.466546112115733
Basmati Pirinç 1 Kg,140.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,14.285714285714285
Dardanel Klasik Ton Balığı 5 x 75 gr x 4 lü Paket (20 ad x 75 gr),1485.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,16.015625
Dardanel Klasik Ton Balığı 4 X 75 Gr,297.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,16.015625
Dardanel Ekonomik Ton Balığı 4×75 Gr,247.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,-5.0,6.008583690987124
Dermason Fasulye 25 Kg (Çuval),2800.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Dermason Fasulye 1 Kg,122.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Bafra Pirinç 25 Kg Osmancık (Çuval),2770.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Bafra Pirinç Osmancık 1 Kg,117.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Aşurelik Buğday 25 Kg (Çuval),1462.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Aşurelik Buğday 1 Kg,58.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Süper Pilavlık Bulgur 25 Kg (Çuval),1395.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Süper Pilavlık Bulgur 1 Kg,60.3,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Cin Mısır Popcorn 25 Kg (Çuval),1825.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,12.654320987654321,12.654320987654321
Cin Mısır Açık 1 Kg,92.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,12.804878048780488,12.804878048780488
Kırık Pirinç 25 Kg (Çuval),1370.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Kırık Pirinç 1 Kg,61.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Kırmızı Mercimek 25 Kg (Çuval),2130.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Kırmızı Mercimek 1 Kg,94.4,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Nohut 25 Kg (Çuval),2745.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Nohut 1 Kg,118.4,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Gönen Baldo Pirinç 25 Kg (Çuval),2990.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Gönen Baldo Pirinç 1 Kg,130.8,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Sarıkılçık Pilavlık Pirinç 15 Kg,2000.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Yeşil Mercimek 25 Kg (Çuval),2825.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Yeşil Mercimek 1 Kg,113.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Barbunya 25 Kg (Çuval),4075.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Barbunya 1 Kg,176.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Koçbaşı Nohut 1 Kg,153.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Koçbaşı Nohut 25 Kg (Çuval),3500.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Sarıkılçık Pilavlık Pirinç 25 Kg (Çuval),3200.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Tukaş Yaprak Sarma 400 Gr.,102.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Sarıkılçık Pilavlık Pirinç 10 kg,1400.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Sarıkılçık Pilavlık Pirinç 5 kg,745.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Sarıkılçık Pilavlık Pirinç 1 kg,149.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Eti Pronot Glutensiz Mini Kek Kakaolu 144 Gr,91.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,-26.61290322580645,-22.88135593220339
Kent Boringer Toppig 300 Gr Frambuazlı Silindir,160.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,
Kent Boringer Toppig 300 Gr Karamelli Silindir,160.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,
Heinz American Burger Sos 235 Gr,164.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Heinz Acılı Mayonez 405 Gr,266.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Öncü Domates Salçası Cam Kavanoz 700 Gr,160.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,26.984126984126984
Öncü Tatlı Biber Salçası Cam 700 Gr,236.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,16.831683168316832
Öncü Acı Biber Salçası Cam 700 Gr,236.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,16.831683168316832
Tukaş Fasulye Pilaki 400 Gr,61.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,6.956521739130435
Tukaş Bezelye 830Gr,86.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Tukaş Hardal Sos 335 Gr,65.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Tukaş Sos Barbekü 400 Gr,66.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Tukaş Sos Ranch 335 Gr,65.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Sütaş Yemeklik Krema 200 Ml,80.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Yazar Tam Kepekli Unu 1 Kg,70.15,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Yazar Tam Buğday Unu 1 Kg,67.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Sunu Haşhaş Ezmesi 400 Gr,180.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
