tarih,avg_inflation_1d,tuik_weighted_1d,avg_inflation_7d,tuik_weighted_7d,avg_inflation_15d,tuik_weighted_15d,avg_inflation_30d,tuik_weighted_30d,avg_inflation_2026-05-23,tuik_weighted_2026-05-23
2026-03-21,0.0,0.0,0.012392,0.014571,0.133431,0.157134,,,,
2026-03-22,0.0,0.0,0.0,0.0,0.133431,0.157134,,,,
2026-03-23,2.159565,2.092985,2.158979,2.092662,2.249083,2.199133,,,,
2026-03-24,0.008162,0.009579,2.165945,2.100926,2.256952,2.208885,,,,
2026-03-25,0.0,0.0,2.165945,2.100926,2.256952,2.208885,,,,
2026-03-26,0.0,0.0,2.166534,2.101249,2.256952,2.208885,3.649006,3.851777,,
2026-03-27,0.0,0.0,2.166534,2.101249,2.256071,2.207804,3.649006,3.851777,,
2026-03-28,0.0,0.0,2.166534,2.101249,2.256071,2.207804,3.649006,3.851777,,
2026-03-29,0.0,0.0,2.166534,2.101249,2.178374,2.115669,3.63642,3.836611,,
2026-03-30,0.0,0.0,0.008162,0.009579,2.165945,2.100926,3.63642,3.836611,,
2026-03-31,0.0,0.0,0.0,0.0,2.165945,2.100926,3.63642,3.836611,,
2026-04-01,0.0,0.0,0.0,0.0,2.165945,2.100926,2.260601,2.21212,,
2026-04-02,0.011595,0.007627,0.011595,0.007627,2.166475,2.101993,2.25816,2.210291,,
2026-04-03,0.0,0.0,0.011595,0.007627,2.167065,2.102316,2.25816,2.210291,,
2026-04-04,0.0,0.0,0.011595,0.007627,2.167065,2.102316,2.25816,2.210291,,
2026-04-05,0.0,0.0,0.011595,0.007627,2.167065,2.102316,2.25816,2.210291,,
2026-04-06,0.0,0.0,0.011599,0.007643,2.167625,2.103408,2.258755,2.211384,,
2026-04-07,0.001047,0.001231,0.012649,0.008874,0.021044,0.018719,2.260086,2.21296,,
2026-04-08,0.0,0.0,0.012649,0.008874,0.012649,0.008874,2.259444,2.212621,,
2026-04-09,0.0,0.0,0.001049,0.001231,0.012649,0.008874,2.259444,2.212621,,
2026-04-10,1.914355,1.906959,1.907732,1.902081,1.924006,1.912571,4.201726,4.143384,,
2026-04-11,0.00796,0.00979,1.917563,1.913045,1.93072,1.920519,4.20887,4.151562,,
2026-04-12,0.0,0.0,1.917563,1.913045,1.93072,1.920519,4.20887,4.151562,,
2026-04-13,0.0,0.0,1.921919,1.91593,1.93072,1.920519,4.130372,4.058857,,
2026-04-14,0.0,0.0,1.921586,1.91539,1.931472,1.921257,4.118415,4.044107,,
2026-04-15,0.0,0.0,1.921586,1.91539,1.931472,1.921257,4.118415,4.044107,,
2026-04-16,0.007929,0.009752,1.929983,1.925344,1.940118,1.931487,4.127304,4.054633,,
2026-04-17,0.0,0.0,0.017878,0.02198,1.923832,1.920997,4.127304,4.054633,,
2026-04-18,-0.001801,-0.002215,0.00613,0.007537,1.921921,1.918736,4.125194,4.052135,,
2026-04-19,0.0,0.0,0.00613,0.007537,1.925033,1.921753,4.125194,4.052135,,
2026-04-20,0.0,0.0,0.00613,0.007537,1.925033,1.921753,4.125194,4.052135,,
2026-04-21,-0.001412,-0.001736,0.004786,0.005886,1.927966,1.922953,4.123622,4.050273,,
2026-04-22,0.0,0.0,0.004786,0.005886,1.926654,1.921398,1.9473,1.939984,,
2026-04-23,0.0,0.0,-0.003143,-0.003866,1.926654,1.921398,1.936783,1.927541,,
2026-04-24,0.0,0.0,-0.003143,-0.003866,1.926654,1.921398,1.936783,1.927541,,
2026-04-25,0.0,0.0,-0.001412,-0.001736,0.014733,0.018114,1.936783,1.927541,,
2026-04-26,0.0,0.0,-0.001412,-0.001736,0.004787,0.005886,1.936783,1.927541,,
2026-04-27,0.0,0.0,-0.001412,-0.001736,0.004787,0.005886,1.936783,1.927541,,
2026-04-28,1.667038,1.659968,1.667669,1.660585,1.668913,1.662279,3.664136,3.614024,,
2026-04-29,0.0,0.0,1.667669,1.660585,1.669501,1.662832,3.664136,3.614024,,
2026-04-30,0.0,0.0,1.667669,1.660585,1.669501,1.662832,3.664136,3.614024,,
2026-05-01,0.0,0.0,1.667038,1.659968,1.664124,1.656239,3.664136,3.614024,,
2026-05-02,0.0,0.0,1.667038,1.659968,1.664124,1.656239,3.646842,3.602933,,
2026-05-03,0.0,0.0,1.667038,1.659968,1.666077,1.658633,3.646842,3.602933,,
2026-05-04,0.0,0.0,1.667038,1.659968,1.666077,1.658633,3.647965,3.603846,,
2026-05-05,0.005491,0.006719,0.005491,0.006719,1.669773,1.663166,3.652808,3.609565,,
2026-05-06,0.0,0.0,0.005491,0.006719,1.671365,1.665118,3.656565,3.612281,,
2026-05-07,0.01778,0.021798,0.023274,0.028533,1.690195,1.68868,3.676064,3.63577,,
2026-05-08,0.0,0.0,0.023274,0.028533,1.690195,1.68868,3.676064,3.63577,,
2026-05-09,0.0,0.0,0.023274,0.028533,1.689556,1.688063,3.676064,3.63577,,
2026-05-10,0.0,0.0,0.023274,0.028533,1.689556,1.688063,1.699409,1.700156,,
2026-05-11,-0.001527,-0.001459,0.021746,0.027073,1.687993,1.686563,1.690684,1.68986,,
2026-05-12,0.11119,0.325246,0.128333,0.34515,1.826673,2.026631,1.828179,2.028468,,
2026-05-13,-0.004051,-0.005166,0.123329,0.339105,0.128249,0.345049,1.82314,2.022323,,
2026-05-14,0.0,0.0,0.106752,0.319751,0.128249,0.345049,1.823677,2.022819,,
2026-05-15,0.0,0.0,1.196701,1.120661,1.239156,1.144771,3.385899,3.267805,,
2026-05-16,0.0,0.0,0.114701,0.331128,0.137689,0.356427,1.881287,2.083515,,
2026-05-17,0.0,0.0,0.106752,0.319751,0.128249,0.345049,1.818234,2.016179,,
2026-05-18,0.0,0.0,0.106185,0.319186,0.128249,0.345049,1.820211,2.01859,,
2026-05-19,0.0,0.0,-0.004051,-0.005166,0.128249,0.345049,1.820211,2.01859,,
2026-05-20,0.0,0.0,0.0,0.0,0.113072,0.310856,2.172104,2.516391,,
2026-05-21,0.0,0.0,0.0,0.0,0.123329,0.339105,1.821822,2.020556,,
2026-05-22,0.0,0.0,0.0,0.0,0.107078,0.320209,1.827417,2.026139,,
2026-05-23,0.0,0.0,0.0,0.0,0.107078,0.320209,1.827417,2.026139,,
2026-05-24,,,,,,,,,0.0,0.0
2026-05-25,0.0,0.0,0.0,0.0,0.107078,0.320209,1.826716,2.025438,,
2026-05-26,0.0,0.0,0.0,0.0,0.106509,0.319642,1.826716,2.025438,,
2026-05-27,0.0,0.0,0.0,0.0,-0.004063,-0.005166,1.826716,2.025438,,
2026-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.128641,0.345507,,
2026-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.128641,0.345507,,
2026-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.128641,0.128641,,
