ProductName,Total_Period_Change_%,2026-03_Change_%,2026-04_Change_%
% %40 %45 ( ) 15 450G DILIMLI EZINE KEÇI KOYUN PEYNIR TAHSILDAROĞLU İNEK,4.35,-5.6983902047672,10.654284373981326
% %40 %45 ( ) 15 500G EZINE KEÇI KOYUN PEYNIRI TAHSILDAROĞLU İNEK,4.35,-5.5912776069332315,10.528740170434038
% 0.15 1L SELIN SÜT YAĞLI,11.93,1.6424365985175937,10.122785640641109
% 1 100 CAPPY ELMA L MEYVE SUYU,0.0,0.0,0.0
% 1 100 KARIŞIK L MEYSU MEYVE SUYU,0.0,0.0,0.0
% 100 1L DIMES KIRMIZI MEYVELER,0.0,0.0,0.0
% 100 24'LÜ CAREFREE GÜNLÜK PAMUK PED,0.0,0.0,0.0
% 100 250ML CAM EKŞISI GÜLSAN NAR ŞIŞE,0.0,0.0,0.0
% 100 30'LU CAREFREE GÜNLÜK PAMUK PED,0.0,0.0,0.0
% 100 700ML ELITE NAR NATUREL ORGANIK SUYU,0.0,0.0,0.0
% 100 800G. DOĞAL KEÇIBOYNUZU KOSKA PEKMEZ,14.3,10.145495630519497,3.768134145575597
% 100 800G. DOĞAL KOSKA PEKMEZ ÜZÜM,0.0,0.0,0.0
% 18 200ML KREMA MIS UHT YAĞLI,38.97,38.96848137535818,0.0
% 300ML. 33 BEBE BEDAVA DALIN YAĞI,0.0,0.0,0.0
% 32GR BAR FELLAS FINDIK KAKAO,0.0,0.0,0.0
% 32GR BAR FELLAS FISTIK KAKAO,0.0,0.0,0.0
% 45GR BADEM BAR FELLAS KAKAO,-0.0,-1.1102230246251565e-14,0.0
% 45GR BAR FELLAS FISTIGI KAKAO YER,-0.0,-1.1102230246251565e-14,0.0
% 45GR BAR FELLAS KAKAO PORTAKAL,-0.0,-1.1102230246251565e-14,0.0
% 55 60GR BITTER CIKOLATA KAKAO KARE NESTLE,0.89,6.661338147750939e-14,0.8903728436281844
% 60ML 81 GOLF MARAŞIM SADE STICK SÜTLÜ,0.0,0.0,0.0
%0 & 150ML ALÜMINYUM DEODORANT DOVE KADIN LIMON VANILYA ÇIÇEĞI,2.34,2.343186733958169,0.0
%0 & 150ML ALÜMINYUM DEODORANT DOVE KADIN SALATALIK YEŞIL ÇAY,-3.08,-5.551115123125783e-14,-3.0769230769229994
%0 100G GLAZE KABUKLU KOCAMAN MIDYE,0.0,0.0,0.0
%0 150ML ALÜMINYUM DEODORANT FRESH KADIN OCEAN REXONA SPREY,8.11,2.678020486239663,5.288461538461542
%0 150ML ALÜMINYUM DEODORANT FRESH OCEAN REXONA,0.0,0.0,0.0
%0 150ML ALÜMINYUM DEODORANT KADIN LOVE MYSTIC REXONA SPREY,4.78,3.0174009626064535,1.7126269956458717
%0 150ML ALÜMINYUM DEODORANT KADIN MUSK REXONA SPREY,8.11,2.678020486239663,5.288461538461542
%0 150ML ALÜMINYUM DEODORANT KADIN PASSION REXONA SPREY,4.78,3.6142424900101,1.1267392046100833
%0 150ML ALÜMINYUM DEODORANT MUSK REXONA,0.0,0.0,0.0
%0 260GR BALIKYE BANDO FINGER FISH GLZ,0.0,0.0,0.0
%0 500G 6 LIGHT SEK YAĞLI YOĞURT,-0.0,2.220446049250313e-14,-4.440892098500626e-14
%0 50ML ALIMÜNYUM BREEZE EMOTION KADIN NATURAL ON ROLL,-5.04,-5.0426473741072675,0.0
%0 50ML ALIMÜNYUM EMOTION FRESH KADIN OCEAN ON ROLL,17.65,-3.0438139962476574,21.340435997530193
%1 1 L PINAR SÜT YAĞLI,0.0,0.0,0.0
%1 1L PINAR SÜT YARIM YAĞLI,0.0,0.0,0.0
%1 1L PINAR SÜT YAĞLI,11.78,13.158884126626113,-1.2145509852999337
%1 1LT DANONE LAKTOZSUZ SÜT UHT YAĞLI,0.0,0.0,0.0
%1 1LT PINAR SÜT,-0.0,-1.1102230246251565e-14,0.0
%1 1LT SÜT TEKSÜT UHT YAĞLI,-0.0,-2.220446049250313e-14,0.0
%1 2000G PINAR YAĞLI YOĞURT,0.0,0.0,0.0
%1 2KG 8 MIS YAĞLI YOĞURT,0.0,0.0,0.0
%1.5 2000G DOĞAL SÜT TORKU YARIM YAĞI YAĞLI YOĞURT,0.0,0.0,0.0
%10 440G BEDAVA PLS ÇOKOKREM ÜLKER,0.24,8.553349334497051,-7.660524846454475
%100 & 1 DIMES ELMA LITRE VIŞNE,0.0,0.0,0.0
%100 & 10ML DOĞAL KAŞ KIRPIK SERUMU SIVENO,0.0,-4.440892098500626e-14,6.661338147750939e-14
%100 1 ARMUT L SUYU TAMEK,5.81,0.0,5.8121032730507505
%100 1 BITKISEL FIRIN GLİNT IZGARA KÜF LITRE TEMIZLEYIC..,11.43,11.427120365667864,0.0
%100 1 CAM L MEYSU MEYVE MULTIMIX SUYU ŞIŞE,0.0,0.0,0.0
%100 1 CAM L MEYSU NAR SUYU,0.0,0.0,0.0
%100 1 CAPPY ELMA GOLD LITRE SUYU,0.0,0.0,0.0
%100 1 CAPPY ELMA L MEYVE SUYU ŞEFTALI,0.0,0.0,0.0
%100 1 CAPPY ELMA L SUYU,0.0,0.0,0.0
%100 1 CAPPY L PORTAKAL SUYU TETRA,0.0,0.0,0.0
%100 1 DIMES ELMA L MEYVE SUYU,0.0,0.0,0.0
%100 1 DIMES ELMA L MEYVE SUYU VIŞNE,0.0,0.0,0.0
%100 1 DIMES ELMA LITRE SUYU,0.0,0.0,0.0
%100 1 DIMES EXTRA L MEYVE PORTAKAL SUYU,0.0,0.0,0.0
%100 1 DIMES KARIŞIK L MEYVE SUYU,0.0,0.0,0.0
