date,avg_inflation_1d,tuik_weighted_1d,avg_inflation_7d,tuik_weighted_7d,avg_inflation_15d,tuik_weighted_15d,avg_inflation_30d,tuik_weighted_30d
2026-05-04,,,,,,,,
2026-05-05,-0.07596,-0.01692,,,,,,
2026-05-06,1.462591,0.53048,,,,,,
2026-05-07,6.231423,3.206738,,,,,,
2026-05-08,-7.402484,-4.274639,,,,,,
2026-05-09,-0.396277,-0.77608,,,,,,
2026-05-10,0.0,0.0,,,,,,
2026-05-11,0.325674,-0.770597,-3.000145,-3.777874,,,,
2026-05-12,-0.118834,-0.026995,-3.128792,-3.82679,,,,
2026-05-13,-0.729471,-0.320778,-4.356865,-4.225392,,,,
2026-05-14,-0.001273,-0.003726,-7.890209,-5.737892,,,,
2026-05-15,0.123228,0.666229,-0.736146,-1.822057,,,,
2026-05-16,0.156795,1.174816,-0.321615,0.164279,,,,
2026-05-17,0.0,0.0,-0.174237,0.765573,,,,
2026-05-18,0.024005,0.012881,-0.481408,1.554487,,,,
2026-05-19,-0.182907,-0.0405,-0.455994,1.565101,-3.374091,-2.843971,,
2026-05-20,0.0,0.0,0.114669,1.865676,-3.560936,-2.881214,,
2026-05-21,-1.117488,-0.822794,-0.989482,0.924829,-4.153694,-3.121268,,
