id,sku,name,brand,category,sub_category,family,regular_price,shown_price,discount_rate,unit,status,image_url,product_url,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
SM-R640NZWATUR,SM-R640NZWATUR,Galaxy Buds4 Pro,Samsung,Audio Sound,Galaxy Buds,Galaxy Buds4 Pro,12499.0,12499.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/s2602/gallery/tr-galaxy-buds4-r640-sm-r640nzwatur-thumb-550975743,https://www.samsung.com/tr/audio-sound/galaxy-buds/galaxy-buds4-pro-white-sm-r640nzwatur/,09,0.0,0.0,,
SM-R640NZKATUR,SM-R640NZKATUR,Galaxy Buds4 Pro,Samsung,Audio Sound,Galaxy Buds,Galaxy Buds4 Pro,12499.0,12499.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/s2602/gallery/tr-galaxy-buds4-r640-sm-r640nzkatur-thumb-550975722,https://www.samsung.com/tr/audio-sound/galaxy-buds/galaxy-buds4-pro-black-sm-r640nzkatur/,09,0.0,0.0,,
SM-R640NZDATUR,SM-R640NZDATUR,Galaxy Buds4 Pro (Samsung.com’a özel),Samsung,Audio Sound,Galaxy Buds,Galaxy Buds4 Pro (Samsung.com’a özel),12499.0,12499.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/s2602/gallery/tr-galaxy-buds4-r640-579513-sm-r640nzdatur-thumb-550981549,https://www.samsung.com/tr/audio-sound/galaxy-buds/galaxy-buds4-pro-pink-gold-sm-r640nzdatur/,09,0.0,0.0,,
SM-R540NZWATUR,SM-R540NZWATUR,Galaxy Buds4,Samsung,Audio Sound,Galaxy Buds,Galaxy Buds4,8999.0,8999.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/s2602/gallery/tr-galaxy-buds4-r540-sm-r540nzwatur-thumb-550984281,https://www.samsung.com/tr/audio-sound/galaxy-buds/galaxy-buds4-white-sm-r540nzwatur/,09,0.0,0.0,,
SM-R540NZKATUR,SM-R540NZKATUR,Galaxy Buds4,Samsung,Audio Sound,Galaxy Buds,Galaxy Buds4,8999.0,8999.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/s2602/gallery/tr-galaxy-buds4-r540-sm-r540nzkatur-thumb-550984260,https://www.samsung.com/tr/audio-sound/galaxy-buds/galaxy-buds4-black-sm-r540nzkatur/,09,0.0,0.0,,
SM-R420NZAATUR,SM-R420NZAATUR,Galaxy Buds3 FE,Samsung,Audio Sound,Galaxy Buds,Galaxy Buds3 FE,5499.0,5499.0,0,PIECE,OUT_OF_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/sm-r420nzaatur/gallery/tr-galaxy-buds3-fe-sm-r420nzaatur-thumb-548598574,https://www.samsung.com/tr/audio-sound/galaxy-buds/galaxy-buds3-fe-gray-sm-r420nzaatur/,09,0.0,,,
SM-R420NZKATUR,SM-R420NZKATUR,Galaxy Buds3 FE,Samsung,Audio Sound,Galaxy Buds,Galaxy Buds3 FE,5499.0,5499.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/sm-r420nzkatur/gallery/tr-galaxy-buds3-fe-sm-r420nzkatur-thumb-548598592,https://www.samsung.com/tr/audio-sound/galaxy-buds/galaxy-buds3-fe-black-sm-r420nzkatur/,09,0.0,0.0,,
SM-R410NZKATUR,SM-R410NZKATUR,Galaxy Buds Core,Samsung,Audio Sound,Galaxy Buds,Galaxy Buds Core,2299.0,2299.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/sm-r410nzkatur/gallery/tr-galaxy-buds-core-r410-sm-r410nzkatur-thumb-547787419,https://www.samsung.com/tr/audio-sound/galaxy-buds/galaxy-buds-core-black-sm-r410nzkatur/,09,0.0,0.0,,
SM-R410NZWATUR,SM-R410NZWATUR,Galaxy Buds Core,Samsung,Audio Sound,Galaxy Buds,Galaxy Buds Core,2299.0,2299.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/sm-r410nzwatur/gallery/tr-galaxy-buds-core-r410-sm-r410nzwatur-thumb-547787432,https://www.samsung.com/tr/audio-sound/galaxy-buds/galaxy-buds-core-white-sm-r410nzwatur/,09,0.0,0.0,,
EO-IC100BBEGWW,EO-IC100BBEGWW,AKG Tip C Kulaklık,Samsung,Audio Sound,AKG Kulaklıklar,Samsung Type-C Earphones,1199.0,1199.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/tr-samsung-type-c-earphones-eo-ic100-eo-ic100bbegww-frontblack-thumb-207369417,https://www.samsung.com/tr/audio-sound/akg-headphones/samsung-type-c-earphones-black-eo-ic100bbegww/,09,0.0,0.0,,
EO-IC100BWEGWW,EO-IC100BWEGWW,AKG Tip C Kulaklık,Samsung,Audio Sound,AKG Kulaklıklar,Samsung Type-C Earphones,1199.0,1199.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/tr-samsung-type-c-earphones-eo-ic100-eo-ic100bwegww-frontwhite-thumb-207369440,https://www.samsung.com/tr/audio-sound/akg-headphones/samsung-type-c-earphones-white-eo-ic100bwegww/,09,0.0,0.0,,
CFX-D100/EU,CFX-D100/EU,Hava Temizleyici Filtresi,Samsung,Air Purifier,Hava Temizleyici,Hava Temizleyici Filtresi,2299.0,2299.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/cfx-d100-eu/gallery/tr-air-purifier-accessories-cfx-d100-eu-thumb-550774719,https://www.samsung.com/tr/air-care/air-purifier/ax5500-cfx-d100-eu/,05,,,,
AP70F06103RGSK,AP70F06103RGSK,Hava Temizleyici AX5500,Samsung,Air Purifier,Hava Temizleyici,AX5500 Air Purifier with Multi-Layered High Efficiency Purification System,17499.0,17499.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/ap70f06103rgsk/gallery/tr-ax5500-ap70f06103rgsk-thumb-549260840,https://www.samsung.com/tr/air-care/air-purifier/ax5500-ap70f06103rgsk/,05,0.0,0.0,,
WMN-B50EB/XC,WMN-B50EB/XC,Slim Fit Wall Mount (2023),Samsung,TV Accessories,Wall Mount,2021 Slim Fit Wall Mount (WMN-A50E),5699.0,5699.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/wmn-b50eb-xc/gallery/tr-slim-fit-wall-mount-wmn-a50e-574132-wmn-b50eb-xc-thumb-550473937,https://www.samsung.com/tr/tv-accessories/slim-fit-wall-mount-wmn-b50eb-xc/,09,0.0,0.0,,
